 20181007
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       31380   1.24664998       1.51822090       1.68750000    
       31440   1.24678051       1.51932395       1.68750000    
       31500   1.23956096       1.51932395       1.68750000    
       31560   1.24253654       1.52075267       1.68750000    
       31620   1.24864995       1.52075267       1.68750000    
       31680   1.24600005       1.52194440       1.68750000    
       31740   1.23990250       1.52194440       1.68750000    
       31800   1.23414636       1.52243602       1.68750000    
       31860   1.23414636       1.52243602       1.68750000    
       31920   1.22887802       1.52250242       1.68750000    
       31980   1.22239029       1.52250242       1.68750000    
       32040   1.21559525       1.52208865       1.68750000    
       32100   1.21931708       1.52208865       1.68750000    
       32160   1.22441459       1.52152574       1.68750000    
       32220   1.22863412       1.52152574       1.68750000    
       32280   1.22892857       1.52077663       1.01499999    
       32340   1.23985362       1.52077663       1.01499999    
       32400   1.24643898       1.52041888       1.01499999    
       32460   1.25000000       1.52041888       1.01499999    
       32520   1.25199997       1.52032983       1.01499999    
       32580   1.25485361       1.52032983       1.01499999    
       32640   1.25588095       1.52035809       1.01499999    
       32700   1.25695348       1.52035809       1.01499999    
       32760   1.25827277       1.52067447       1.01499999    
       32820   1.25448895       1.52067447       1.01499999    
       32880   1.25448895       1.52107632       1.01499999    
       32940   1.26126087       1.52107632       1.01499999    
       33000   1.26865220       1.52197897       1.01499999    
       33060   1.27463830       1.52197897       1.01499999    
       33120   1.27410865       1.52324152       1.01499999    
       33180   1.28158700       1.52324152       1.01499999    
       33240   1.28582609       1.52476728       1.01499999    
       33300   1.29255319       1.52476728       1.01499999    
       33360   1.29508698       1.52698684       1.01499999    
       33420   1.30047822       1.52698684       1.01499999    
       33480   1.30253339       1.52989006       1.01499999    
       33540   1.30584788       1.52989006       1.01499999    
       33600   1.31160867       1.53287053       1.01499999    
       33660   1.32082605       1.53287053       1.01499999    
       33720   1.32137775       1.53610182       1.01499999    
       33780   1.32456517       1.53610182       1.01499999    
       33840   1.32845652       1.53917170       1.01499999    
       33900   1.32537782       1.53917170       1.01499999    
       33960   1.32486665       1.54197681       1.01499999    
       34020   1.32376087       1.54197681       1.01499999    
       34080   1.31384778       1.54427898       1.01499999    
       34140   1.31035554       1.54427898       1.01499999    
       34200   1.30466664       1.54632330       1.01499999    
       34260   1.29862225       1.54632330       1.01499999    
       34320   1.28978264       1.54824722       1.01499999    
       34380   1.28939998       1.54824722       1.01499999    
       34440   1.27900004       1.55037427       1.01499999    
       34500   1.27091110       1.55037427       1.01499999    
       34560   1.26928258       1.55216396       1.01499999    
       34620   1.27086663       1.55216396       1.01499999    
       34680   1.27162218       1.55400276       1.01499999    
       34740   1.27231109       1.55400276       1.01499999    
       34800   1.27565217       1.55613780       1.01499999    
       34860   1.27371109       1.55613780       1.01499999    
       34920   1.27033329       1.55852175       1.01499999    
       34980   1.26593328       1.55852175       1.01499999    
       35040   1.26695657       1.56085515       1.01499999    
       35100   1.26728892       1.56085515       1.01499999    
       35160   1.27326667       1.56318295       1.01499999    
       35220   1.26957774       1.56318295       1.01499999    
       35280   1.26023912       1.56514728       1.01499999    
       35340   1.26291108       1.56514728       1.01499999    
       35400   1.26668894       1.56709898       1.01499999    
       35460   1.26442218       1.56709898       1.01499999    
       35520   1.25230432       1.56920934       1.01499999    
       35580   1.25391114       1.56920934       1.01499999    
       35640   1.25228894       1.57160032       1.01499999    
       35700   1.24937773       1.57160032       1.01499999    
       35760   1.24128258       1.57472265       1.01499999    
       35820   1.23968887       1.57472265       1.01499999    
       35880   1.22837782       1.57866406       1.40600002    
       35940   1.21831107       1.57866406       1.40600002    
       36000   1.20871735       1.58277237       1.40600002    
       36060   1.20573330       1.58277237       1.40600002    
       36120   1.19153333       1.58667481       1.40600002    
       36180   1.18420005       1.58667481       1.40600002    
       36240   1.18332613       1.59017324       1.40600002    
       36300   1.18077779       1.59017324       1.40600002    
       36360   1.18275559       1.59278059       1.40600002    
       36420   1.18766665       1.59278059       1.40600002    
       36480   1.20077777       1.59471917       1.40600002    
       36540   1.20077777       1.59471917       1.40600002    
       36600   1.19508886       1.59655666       1.40600002    
       36660   1.18704450       1.59655666       1.40600002    
       36720   1.17879546       1.59803462       1.40600002    
       36780   1.17857778       1.59803462       1.40600002    
       36840   1.17268884       1.59902442       1.40600002    
       36900   1.17268884       1.59902442       1.40600002    
       36960   1.16293180       1.59942007       1.40600002    
       37020   1.16786671       1.59942007       1.40600002    
       37080   1.16686666       1.59937894       1.40600002    
       37140   1.17326093       1.59937894       1.40600002    
       37200   1.16700006       1.59887719       1.40600002    
       37260   1.16984439       1.59887719       1.40600002    
       37320   1.17037773       1.59827685       1.40600002    
       37380   1.18204343       1.59827685       1.40600002    
       37440   1.17568886       1.59760606       1.40600002    
       37500   1.17335558       1.59760606       1.40600002    
       37560   1.17760873       1.59701335       1.40600002    
       37620   1.17044449       1.59701335       1.40600002    
       37680   1.17433333       1.59637356       1.40600002    
       37740   1.17782223       1.59637356       1.40600002    
       37800   1.17782223       1.59570265       1.40600002    
       37860   1.18315554       1.59570265       1.40600002    
       37920   1.19326663       1.59514725       1.40600002    
       37980   1.21466672       1.59514725       1.40600002    
       38040   1.21466672       1.59483051       1.40600002    
       38100   1.23515558       1.59483051       1.40600002    
       38160   1.24364448       1.59448636       1.40600002    
       38220   1.24472725       1.59448636       1.40600002    
       38280   1.24472725       1.59435952       1.40600002    
       38340   1.25190914       1.59435952       1.40600002    
       38400   1.25081396       1.59426343       1.40600002    
       38460   1.25223255       1.59426343       1.40600002    
       38520   1.25223255       1.59375179       1.40600002    
       38580   1.25334883       1.59375179       1.40600002    
       38640   1.25425577       1.59282780       1.40600002    
       38700   1.25590694       1.59282780       1.40600002    
       38760   1.25590694       1.59147549       1.40600002    
       38820   1.26174414       1.59147549       1.40600002    
       38880   1.27088368       1.58991683       1.40600002    
       38940   1.28432560       1.58991683       1.40600002    
