 20190403
 Seconds  Measures(TEMP-C°)  Meso-NH(TEMP-C°)  FORECAST_AR(TEMP-C°)
       29760   10.7916393       11.2257080       10.7208500    
       29820   10.7767210       11.2042599       10.7081757    
       29880   10.7621307       11.1849194       10.6949539    
       29940   10.7478685       11.1674757       10.6808443    
       30000   10.7329512       11.1516790       10.6650782    
       30060   10.7180328       11.1363211       10.6474981    
       30120   10.7024593       11.1206255       10.6292963    
       30180   10.6873770       11.1040421       10.6107550    
       30240   10.6718035       11.0857391       10.5917206    
       30300   10.6567211       11.0661688       10.5716925    
       30360   10.6416397       11.0462046       10.5502110    
       30420   10.6267214       11.0261297       10.5272875    
       30480   10.6118031       11.0057125       10.5035028    
       30540   10.5973768       10.9843540       10.4799910    
       30600   10.5831146       10.9620829       10.4577007    
       30660   10.5677052       10.9394608       10.4362869    
       30720   10.5508194       10.9171467       10.4159584    
       30780   10.5344267       10.8952904       10.3972979    
       30840   10.5175409       10.8733664       10.3804226    
       30900   10.5006561       10.8521156       10.3649778    
       30960   10.4845905       10.8327532       10.3519793    
       31020   10.4690161       10.8156853       10.3432627    
       31080   10.4542627       10.8009329       10.3394203    
       31140   10.4386883       10.7889442       10.3382473    
       31200   10.4226227       10.7805462       10.3357630    
       31260   10.4060659       10.7763901       10.3297577    
       31320   10.3906555       10.7754831       10.3208923    
       31380   10.3749180       10.7739239       10.3107471    
       31440   10.3591805       10.7690649       10.3009834    
       31500   10.3424587       10.7610531       10.2921095    
       31560   10.3255739       10.7516699       10.2825327    
       31620   10.3091803       10.7427340       10.2728348    
       31680   10.2921314       10.7350616       10.2640696    
       31740   10.2754097       10.7276382       10.2551441    
       31800   10.2614756       10.7189341       10.2441883    
       31860   10.2503281       10.7092247       10.2315760    
       31920   10.2403278       10.6990051       10.2196569    
       31980   10.2285242       10.6885681       10.2096577    
       32040   10.2160654       10.6773043       10.2009687    
       32100   10.2057381       10.6660337       10.1920891    
       32160   10.1950817       10.6558504       10.1820774    
       32220   10.1832790       10.6461143       10.1707602    
       32280   10.1718035       10.6359949       10.1588373    
       32340   10.1581964       10.6251297       10.1471863    
       32400   10.1431150       10.6134701       10.1006336    
       32460   10.1270494       10.6015358       10.0856495    
       32520   10.1122952       10.5899601       10.0688305    
       32580   10.0980330       10.5781393       10.0505295    
       32640   10.0850821       10.5647030       10.0322628    
       32700   10.0719671       10.5491610       10.0152769    
       32760   10.0590162       10.5323544       10.0007763    
       32820   10.0457373       10.5156784       9.98895454    
       32880   10.0321312       10.5008202       9.97823906    
       32940   10.0178690       10.4887018       9.96753120    
       33000   10.0031147       10.4790831       9.95587349    
       33060   9.98803234       10.4703121       9.94462585    
       33120   9.97163963       10.4604235       9.93554688    
       33180   9.95475388       10.4494333       9.92776299    
       33240   9.93803310       10.4394236       9.91908836    
       33300   9.92360687       10.4315443       9.90838814    
       33360   9.91344261       10.4243231       9.89603138    
       33420   9.90655708       10.4158630       9.88142109    
       33480   9.90180302       10.4058905       9.86396790    
       33540   9.89999962       10.3943243       9.84530449    
       33600   9.89918041       10.3809958       9.82644939    
       33660   9.89967251       10.3661366       9.80878258    
       33720   9.89983654       10.3500357       9.79301262    
       33780   9.90131187       10.3337870       9.77855587    
       33840   9.90426254       10.3189983       9.76496029    
       33900   9.90836048       10.3056507       9.75164032    
       33960   9.90999985       10.2929058       9.73903751    
       34020   9.90901661       10.2804365       9.72768593    
       34080   9.90377045       10.2684078       9.71764183    
       34140   9.89803314       10.2574291       9.70903683    
       34200   9.88967228       10.2475758       9.70171547    
       34260   9.87901592       10.2388573       9.69541073    
       34320   9.86901665       10.2312174       9.68976879    
       34380   9.85934448       10.2242212       9.68404865    
       34440   9.84819698       10.2173271       9.67777157    
       34500   9.83917999       10.2098866       9.67097378    
       34560   9.82967186       10.2015390       9.66454506    
       34620   9.82098389       10.1924486       9.65775967    
       34680   9.81049156       10.1832294       9.64803982    
       34740   9.79770470       10.1743603       9.63363361    
       34800   9.78508186       10.1649408       9.61666298    
       34860   9.77213097       10.1525297       9.60086155    
       34920   9.75836086       10.1360998       9.58787537    
       34980   9.74426270       10.1182861       9.57716179    
       35040   9.72803307       10.1018953       9.56773186    
       35100   9.71311474       10.0878181       9.55833817    
       35160   9.69885254       10.0755472       9.54852962    
       35220   9.68377018       10.0642681       9.54030991    
       35280   9.66606522       10.0531645       9.53371620    
       35340   9.64672089       10.0427551       9.52701283    
       35400   9.62770462       10.0337620       9.51994133    
       35460   9.60704899       10.0248346       9.51418018    
       35520   9.58557415       10.0150566       9.51066303    
       35580   9.56360626       10.0055046       9.50720692    
       35640   9.54131126       9.99828625       9.50203133    
       35700   9.51704884       9.99290752       9.49466038    
       35760   9.49163914       9.98737812       9.48572445    
       35820   9.46655750       9.98020172       9.47672176    
       35880   9.44081974       9.97080517       9.46883774    
       35940   9.41344261       9.95979023       9.46216869    
       36000   9.38639355       9.94860077       9.33262920    
       36060   9.36262321       9.93831539       9.31223774    
       36120   9.34049225       9.92916107       9.29207897    
       36180   9.31934452       9.92108631       9.27081871    
       36240   9.29836082       9.91370964       9.24813557    
       36300   9.27770519       9.90618801       9.22419357    
       36360   9.25721264       9.89752674       9.19938278    
       36420   9.23770523       9.88714504       9.17432690    
       36480   9.21885204       9.87533951       9.14927673    
       36540   9.19934464       9.86254692       9.12523842    
       36600   9.17819691       9.84899235       9.10197163    
       36660   9.15786839       9.83548164       9.07906723    
       36720   9.13967228       9.82278347       9.05561924    
       36780   9.12082005       9.81047726       9.03085041    
       36840   9.10114765       9.79758739       9.00474262    
       36900   9.08458996       9.78360462       8.97824574    
       36960   9.06688499       9.76846600       8.95220280    
       37020   9.05032825       9.75192547       8.92618179    
       37080   9.02836037       9.73406315       8.90049553    
       37140   9.00885201       9.71584225       8.87668228    
       37200   8.98606586       9.69795322       8.85367966    
       37260   8.96163940       9.68083096       8.83097076    
       37320   8.93721294       9.66507435       8.80894089    
       37380   8.91606522       9.65003777       8.78843403    
       37440   8.89393425       9.63464546       8.76951218    
       37500   8.87082005       9.61882687       8.75173187    
       37560   8.84327888       9.60342884       8.73431873    
       37620   8.81639385       9.58924580       8.71705055    
       37680   8.79459000       9.57647705       8.70034981    
       37740   8.77672100       9.56441879       8.68457031    
       37800   8.75868893       9.55244923       8.66963863    
       37860   8.74426270       9.54093933       8.65497780    
       37920   8.73360634       9.53021526       8.64001560    
       37980   8.72180367       9.52007580       8.62456512    
       38040   8.71065617       9.50988007       8.60889626    
