 20181223
 Seconds  Measures(GLF-%)  Meso-NH(GLF-%)  FORECAST_AR(GLF-%)
       42000   62.1177788       41.0687141       74.1211472    
       42060   61.1555557       41.0687141       73.7180328    
       42120   60.1288872       40.2213707       73.3175735    
       42180   60.1288872       40.2213707       72.9420471    
       42240   58.9155540       39.3565826       72.6227036    
       42300   58.4413033       39.3565826       72.3395691    
       42360   57.3934784       38.4713745       72.0789795    
       42420   56.9222221       38.4713745       71.7812958    
       42480   55.8333321       37.7853546       71.4424057    
       42540   55.6978264       37.7853546       71.1371002    
       42600   55.1804352       37.1880493       70.8611221    
       42660   54.9644432       37.1880493       70.7007751    
       42720   54.3822212       36.4679489       70.6090698    
       42780   54.1565208       36.4679489       70.5363159    
       42840   53.8413048       35.9062119       70.3840790    
       42900   53.8391304       35.9062119       70.1088409    
       42960   53.5222206       35.6576576       69.7734756    
       43020   53.5222206       35.6576576       69.3737564    
       43080   53.3590927       35.1251869       52.9415131    
       43140   53.0279083       35.1251869       52.7791061    
       43200   53.0279083       34.3722153       52.6417923    
       43260   52.5000000       34.3722153       52.5343094    
       43320   52.1857147       33.7336960       52.4336243    
       43380   52.1595230       33.7336960       52.3171043    
       43440   52.1595230       33.2813683       52.1198883    
       43500   51.7047615       33.2813683       51.8578339    
       43560   51.5499992       32.9125061       51.5506477    
       43620   51.1380959       32.9125061       51.2363358    
       43680   51.1380959       32.2866249       50.9437752    
       43740   51.1214294       32.2866249       50.7028770    
       43800   50.9682922       31.4769573       50.5139923    
       43860   51.3219528       31.4769573       50.4104652    
       43920   51.8071442       30.8512230       50.3771629    
       43980   51.9285698       30.8512230       50.4620361    
       44040   52.1571426       30.4933929       50.6097717    
       44100   51.7365837       30.4933929       50.7977791    
       44160   52.1952362       30.4143066       51.0236130    
       44220   52.1904755       30.4143066       51.1852112    
       44280   52.0214272       30.5573444       51.3046837    
       44340   51.6853676       30.5573444       51.3296471    
       44400   51.8785706       30.8250504       51.2665787    
       44460   51.3261909       30.8250504       51.1384315    
       44520   51.0714302       30.8544312       50.9529610    
       44580   50.8414650       30.8544312       50.7835503    
       44640   51.0952377       30.5501671       50.6425476    
       44700   51.4142876       30.5501671       50.5680809    
       44760   51.2785721       30.0446510       50.5946236    
       44820   51.1902428       30.0446510       50.7173767    
       44880   51.6952362       29.6741486       50.8721275    
       44940   51.8523827       29.6741486       51.0291443    
       45000   52.4142876       29.6623993       51.0377922    
       45060   52.7048798       29.6623993       50.9119492    
       45120   53.0142860       29.7740593       50.8771744    
