 20181226
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       39540   7.96064425       9.51324558       8.37800026    
       39600   7.96064425       9.47863579       8.37800026    
       39660   8.09322262       9.47863579       8.37800026    
       39720   8.16531086       9.43502426       8.37800026    
       39780   8.20300007       9.43502426       8.37800026    
       39840   8.20300007       9.39193439       8.37800026    
       39900   8.25691128       9.39193439       8.37800026    
       39960   8.37811089       9.35222340       8.37800026    
       40020   8.51666641       9.35222340       8.37800026    
       40080   8.51666641       9.32308292       8.37800026    
       40140   8.69786644       9.32308292       8.37800026    
       40200   8.82393360       9.30487061       8.37800026    
       40260   8.95479965       9.30487061       8.37800026    
       40320   8.95479965       9.29266548       8.37800026    
       40380   9.09524441       9.29266548       8.37800026    
       40440   9.21293354       9.27481365       8.37800026    
       40500   9.34186649       9.27481365       8.37800026    
       40560   9.34186649       9.23507786       8.37800026    
       40620   9.44191074       9.23507786       8.37800026    
       40680   9.52666664       9.18965244       8.37800026    
       40740   9.63091087       9.18965244       8.37800026    
       40800   9.67743206       9.15345860       8.37800026    
       40860   9.68084431       9.15345860       8.37800026    
       40920   9.79317760       9.11781406       8.37800026    
       40980   9.87837791       9.11781406       8.37800026    
       41040   9.91029549       9.08578014       8.37800026    
       41100   9.95479965       9.08578014       8.37800026    
       41160   10.0122890       9.05790615       8.37800026    
       41220   10.0452223       9.05790615       8.37800026    
       41280   10.0452223       9.05090046       8.37800026    
       41340   10.1106443       9.05090046       8.37800026    
       41400   10.2318001       9.04979610       8.37800026    
       41460   10.3632441       9.04979610       8.37800026    
       41520   10.3632441       9.04536629       8.37800026    
       41580   10.4378443       9.04536629       8.37800026    
       41640   10.4838667       9.04407692       8.37800026    
       41700   10.4937391       9.04407692       8.37800026    
       41760   10.5313559       9.05414677       8.37800026    
       41820   10.5799332       9.05414677       8.37800026    
       41880   10.6517334       9.07629871       8.37800026    
       41940   10.6192608       9.07629871       8.37800026    
       42000   10.6930666       9.09792995       8.37800026    
       42060   10.7379551       9.09792995       8.37800026    
       42120   10.7688446       9.13364601       8.37800026    
       42180   10.7238045       9.13364601       8.37800026    
       42240   10.7916307       9.17666245       8.37800026    
       42300   10.8512888       9.17666245       8.37800026    
       42360   10.8430214       9.20921326       8.37800026    
       42420   10.8894348       9.20921326       8.37800026    
       42480   10.8972387       9.25044727       8.37800026    
       42540   10.9202442       9.25044727       8.37800026    
       42600   10.8757830       9.30252457       8.37800026    
       42660   10.8465872       9.30252457       8.37800026    
       42720   10.8539782       9.36547089       8.37800026    
       42780   10.8330221       9.36547089       8.37800026    
       42840   10.8071957       9.43171024       8.37800026    
       42900   10.7846889       9.43171024       8.37800026    
       42960   10.7765112       9.48235321       8.37800026    
       43020   10.7891998       9.48235321       8.37800026    
       43080   10.8006086       9.50693798       13.5609999    
       43140   10.8334227       9.50693798       13.5609999    
       43200   10.8130884       9.52892113       13.5609999    
       43260   10.7849779       9.52892113       13.5609999    
       43320   10.6888046       9.55343246       13.5609999    
       43380   10.6736221       9.55343246       13.5609999    
       43440   10.6518002       9.56583500       13.5609999    
       43500   10.6228476       9.56583500       13.5609999    
       43560   10.6130648       9.57126904       13.5609999    
       43620   10.5790663       9.57126904       13.5609999    
       43680   10.4749556       9.57857704       13.5609999    
       43740   10.4590654       9.57857704       13.5609999    
       43800   10.3212824       9.57961750       13.5609999    
       43860   10.3221998       9.57961750       13.5609999    
       43920   10.2176218       9.56851959       13.5609999    
       43980   10.1559343       9.56851959       13.5609999    
       44040   10.1388226       9.54338837       13.5609999    
       44100   10.0860662       9.54338837       13.5609999    
       44160   10.0516891       9.52282619       13.5609999    
       44220   10.0991306       9.52282619       13.5609999    
       44280   10.1278915       9.52043819       13.5609999    
       44340   10.1064663       9.52043819       13.5609999    
       44400   10.0973558       9.52230549       13.5609999    
       44460   10.1051083       9.52230549       13.5609999    
       44520   10.1895437       9.50816059       13.5609999    
       44580   10.1417999       9.50816059       13.5609999    
       44640   10.1082668       9.48778820       13.5609999    
       44700   10.1041517       9.48778820       13.5609999    
       44760   10.0723915       9.47130203       13.5609999    
       44820   10.0543556       9.47130203       13.5609999    
       44880   10.1210222       9.46245098       13.5609999    
       44940   10.1906090       9.46245098       13.5609999    
       45000   10.2323475       9.45521736       13.5609999    
       45060   10.1583776       9.45521736       13.5609999    
       45120   10.0951338       9.43682671       13.5609999    
       45180   10.1463041       9.43682671       13.5609999    
       45240   10.1498480       9.42443275       13.5609999    
       45300   10.1292887       9.42443275       13.5609999    
       45360   10.1498442       9.39813805       13.5609999    
       45420   10.1470871       9.39813805       13.5609999    
       45480   10.1312828       9.36663055       13.5609999    
       45540   10.1102667       9.36663055       13.5609999    
       45600   10.0765553       9.32676888       13.5609999    
       45660   10.0836954       9.32676888       13.5609999    
       45720   10.0806961       9.27354813       13.5609999    
       45780   10.1079559       9.27354813       13.5609999    
       45840   10.1832447       9.20574474       13.5609999    
       45900   10.1746225       9.20574474       13.5609999    
       45960   10.1836519       9.13567162       13.5609999    
       46020   10.1772671       9.13567162       13.5609999    
       46080   10.1670218       9.07942200       13.5609999    
       46140   10.1588221       9.07942200       13.5609999    
       46200   10.1364565       9.03219604       13.5609999    
       46260   10.2114344       9.03219604       13.5609999    
       46320   10.2501116       8.97307777       13.5609999    
       46380   10.2785215       8.97307777       13.5609999    
       46440   10.3488264       8.89844799       13.5609999    
       46500   10.4089127       8.89844799       13.5609999    
       46560   10.4089127       8.82817173       13.5609999    
       46620   10.4665432       8.82817173       13.5609999    
       46680   10.5181303       8.78123760       13.4980001    
       46740   10.5274343       8.78123760       13.4980001    
       46800   10.5274343       8.74265099       13.4980001    
       46860   10.5307178       8.74265099       13.4980001    
       46920   10.5491953       8.69883347       13.4980001    
       46980   10.6034565       8.69883347       13.4980001    
       47040   10.6034565       8.65251064       13.4980001    
       47100   10.6388893       8.65251064       13.4980001    
       47160   10.6688633       8.62216091       13.4980001    
       47220   10.6991625       8.62216091       13.4980001    
       47280   10.6991625       8.60437107       13.4980001    
       47340   10.7594881       8.60437107       13.4980001    
       47400   10.7675114       8.58225822       13.4980001    
       47460   10.9053020       8.58225822       13.4980001    
       47520   10.9053020       8.55621338       13.4980001    
       47580   11.0386276       8.55621338       13.4980001    
       47640   11.1493721       8.53773785       13.4980001    
       47700   11.1382723       8.53773785       13.4980001    
       47760   11.1782789       8.53797722       13.4980001    
       47820   11.1726980       8.53797722       13.4980001    
       47880   11.1209764       8.53334618       13.4980001    
       47940   11.0423021       8.53334618       13.4980001    
       48000   11.0423021       8.51354980       13.4980001    
       48060   10.9754887       8.51354980       13.4980001    
       48120   10.9544888       8.49264717       13.4980001    
       48180   10.8439999       8.49264717       13.4980001    
       48240   10.8439999       8.47069550       13.4980001    
       48300   10.8461161       8.47069550       13.4980001    
       48360   10.8554182       8.44672680       13.4980001    
       48420   10.8439531       8.44672680       13.4980001    
       48480   10.8439531       8.42549419       13.4980001    
       48540   10.7641630       8.42549419       13.4980001    
       48600   10.6429071       8.41120148       13.4980001    
       48660   10.5199299       8.41120148       13.4980001    
       48720   10.5199299       8.39391518       13.4980001    
       48780   10.4577446       8.39391518       13.4980001    
       48840   10.4150467       8.38891220       13.4980001    
       48900   10.3810472       8.38891220       13.4980001    
       48960   10.3810472       8.37837601       13.4980001    
       49020   10.3365479       8.37837601       13.4980001    
       49080   10.3441954       8.36420250       13.4980001    
       49140   10.3323412       8.36420250       13.4980001    
       49200   10.2972622       8.35369015       13.4980001    
       49260   10.2583809       8.35369015       13.4980001    
       49320   10.2548046       8.35591030       13.4980001    
       49380   10.1589508       8.35591030       13.4980001    
       49440   10.0518093       8.36921406       13.4980001    
       49500   9.94661903       8.36921406       13.4980001    
       49560   9.91802406       8.39444160       13.4980001    
       49620   9.83734131       8.39444160       13.4980001    
       49680   9.80416679       8.42111683       13.4980001    
       49740   9.80833340       8.42111683       13.4980001    
       49800   9.81487846       8.43725872       13.4980001    
       49860   9.83458519       8.43725872       13.4980001    
       49920   9.80014610       8.43624878       13.4980001    
       49980   9.80869007       8.43624878       13.4980001    
       50040   9.76604843       8.43745995       13.4980001    
       50100   9.72595119       8.43745995       13.4980001    
       50160   9.70882893       8.44252110       13.4980001    
       50220   9.75452423       8.44252110       13.4980001    
       50280   9.70385361       8.44363117       8.10799980    
       50340   9.68551254       8.44363117       8.10799980    
       50400   9.67512226       8.43759632       8.10799980    
       50460   9.67897606       8.43759632       8.10799980    
       50520   9.65590477       8.43056488       8.10799980    
       50580   9.63848782       8.43056488       8.10799980    
       50640   9.61239052       8.42234707       8.10799980    
       50700   9.56838131       8.42234707       8.10799980    
