 20180902
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
       13260   1.06146157      0.983377337       1.12600005    
       13320   1.06146157      0.981759191       1.12600005    
       13380   1.06088889      0.981759191       1.12600005    
       13440   1.05576921      0.981610417       1.12600005    
       13500   1.05576921      0.981610417       1.12600005    
       13560   1.05262959      0.979548275       1.12600005    
       13620   1.04759264      0.979548275       1.12600005    
       13680   1.04611540      0.977297485       1.12600005    
       13740   1.04611540      0.977297485       1.12600005    
       13800   1.04277778      0.975886106       1.12600005    
       13860   1.04100001      0.975886106       1.12600005    
       13920   1.03807402      0.974381566       1.12600005    
       13980   1.03661537      0.974381566       1.12600005    
       14040   1.03377783      0.971397698       1.12600005    
       14100   1.03265381      0.971397698       1.12600005    
       14160   1.03462958      0.969980896       1.12600005    
       14220   1.03617859      0.969980896       1.12600005    
       14280   1.02874076      0.968715429      0.992999971    
       14340   1.02874076      0.968715429      0.992999971    
       14400   1.02614284      0.966987729      0.992999971    
       14460   1.02551854      0.966987729      0.992999971    
       14520   1.02324998      0.964954495      0.992999971    
       14580   1.01957142      0.964954495      0.992999971    
       14640   1.01829624      0.963162005      0.992999971    
       14700   1.01829624      0.963162005      0.992999971    
       14760   1.01674998      0.960385680      0.992999971    
       14820   1.01540744      0.960385680      0.992999971    
       14880   1.01339281      0.957841277      0.992999971    
       14940   1.00985718      0.957841277      0.992999971    
       15000   1.00792587      0.953945458      0.992999971    
       15060   1.00792587      0.953945458      0.992999971    
       15120   1.00792587      0.951022208      0.992999971    
       15180   1.01007140      0.951022208      0.992999971    
       15240   1.00485182      0.948140800      0.992999971    
       15300   1.00496423      0.948140800      0.992999971    
       15360   1.00348151      0.944675565      0.992999971    
       15420   1.00348151      0.944675565      0.992999971    
       15480   1.00392854      0.941094816      0.992999971    
       15540   1.00307405      0.941094816      0.992999971    
       15600   1.00317860      0.938845098      0.992999971    
       15660   1.00217855      0.938845098      0.992999971    
       15720   1.00085187      0.935398102      0.992999971    
       15780   1.00085187      0.935398102      0.992999971    
       15840  0.999074101      0.930748522      0.992999971    
       15900  0.999074101      0.930748522      0.992999971    
       15960  0.999074101      0.926065445      0.992999971    
       16020   1.00382137      0.926065445      0.992999971    
       16080  0.998259246      0.922241271      0.992999971    
       16140  0.998259246      0.922241271      0.992999971    
       16200  0.997749984      0.919063210      0.992999971    
       16260  0.997925937      0.919063210      0.992999971    
       16320  0.997571409      0.914039075      0.992999971    
       16380  0.997142851      0.914039075      0.992999971    
       16440  0.997111082      0.908641994      0.992999971    
       16500  0.997111082      0.908641994      0.992999971    
       16560  0.997071445      0.902942419      0.992999971    
       16620  0.997185171      0.902942419      0.992999971    
       16680  0.997357130      0.899005651      0.992999971    
       16740  0.998357117      0.899005651      0.992999971    
       16800  0.998357117      0.894387484      0.992999971    
       16860   1.00414288      0.894387484      0.992999971    
       16920   1.00414288      0.888870716      0.992999971    
       16980   1.00620687      0.888870716      0.992999971    
       17040   1.00478566      0.884414554      0.992999971    
       17100   1.00455177      0.884414554      0.992999971    
       17160   1.00455177      0.879673362      0.992999971    
       17220   1.00574994      0.879673362      0.992999971    
       17280   1.00699997      0.875634313      0.992999971    
       17340   1.00699997      0.875634313      0.992999971    
       17400   1.00668967      0.871165335      0.992999971    
       17460   1.00837934      0.871165335      0.992999971    
       17520   1.00837934      0.866265953      0.992999971    
       17580   1.00965512      0.866265953      0.992999971    
       17640   1.00965512      0.860095918      0.992999971    
       17700   1.01142859      0.860095918      0.992999971    
       17760   1.01142859      0.854186058      0.992999971    
       17820   1.01242852      0.854186058      0.992999971    
       17880   1.00999999      0.847507834      0.984000027    
       17940   1.00999999      0.847507834      0.984000027    
       18000   1.00825000      0.840853810      0.984000027    
       18060   1.01018524      0.840853810      0.984000027    
       18120   1.00849998      0.834157944      0.984000027    
       18180   1.00857139      0.834157944      0.984000027    
       18240   1.01055551      0.827665031      0.984000027    
       18300   1.00874996      0.827665031      0.984000027    
       18360   1.00874996      0.820856810      0.984000027    
       18420   1.00999999      0.820856810      0.984000027    
       18480   1.00878572      0.814635396      0.984000027    
       18540   1.00953567      0.814635396      0.984000027    
       18600   1.01144445      0.809113860      0.984000027    
       18660   1.01144445      0.809113860      0.984000027    
       18720   1.01582146      0.804452837      0.984000027    
       18780   1.01779306      0.804452837      0.984000027    
       18840   1.01600003      0.799663544      0.984000027    
       18900   1.01482761      0.799663544      0.984000027    
       18960   1.01507139      0.795527637      0.984000027    
       19020   1.01507139      0.795527637      0.984000027    
       19080   1.01389658      0.791847110      0.984000027    
       19140   1.01382148      0.791847110      0.984000027    
       19200   1.01241374      0.787416577      0.984000027    
       19260   1.01264286      0.787416577      0.984000027    
       19320   1.01132143      0.781620800      0.984000027    
       19380   1.01013792      0.781620800      0.984000027    
       19440   1.01013792      0.777097583      0.984000027    
       19500   1.01046431      0.777097583      0.984000027    
       19560   1.01046431      0.772290051      0.984000027    
       19620   1.01334488      0.772290051      0.984000027    
       19680   1.00910711      0.767056048      0.984000027    
       19740   1.00910711      0.767056048      0.984000027    
       19800   1.00699997      0.760749698      0.984000027    
       19860   1.00579309      0.760749698      0.984000027    
       19920   1.00579309      0.754284203      0.984000027    
       19980   1.00437927      0.754284203      0.984000027    
       20040   1.00482142      0.748503029      0.984000027    
       20100   1.00286210      0.748503029      0.984000027    
