 20180817
 Seconds  Measures(WS-m/s)  Meso-NH(WS-m/s)  FORECAST_AR(WS-m/s)
       20160   3.87442613       6.55075026       6.03000021    
       20220   3.88622952       6.55041599       6.03000021    
       20280   3.90049171       6.55263948       6.03000021    
       20340   3.92721319       6.55428410       6.03000021    
       20400   3.97229505       6.55324268       6.03000021    
       20460   4.00786877       6.54819536       6.03000021    
       20520   4.02967215       6.53799152       6.03000021    
       20580   4.03868866       6.52329683       6.03000021    
       20640   4.04803276       6.50772762       6.03000021    
       20700   4.06606579       6.49596214       6.03000021    
       20760   4.09098339       6.49069071       6.03000021    
       20820   4.11606550       6.49153376       6.03000021    
       20880   4.13786888       6.49622965       6.03000021    
       20940   4.15049171       6.50222778       6.03000021    
       21000   4.15983629       6.50800276       6.03000021    
       21060   4.17016411       6.51405859       6.03000021    
       21120   4.18770504       6.52198696       6.03000021    
       21180   4.21098375       6.53250980       6.03000021    
       21240   4.23606539       6.54579115       6.03000021    
       21300   4.26377058       6.56227446       6.03000021    
       21360   4.29245901       6.58240223       6.03000021    
       21420   4.31573772       6.60633373       6.03000021    
       21480   4.33540964       6.63378525       6.03000021    
       21540   4.35754108       6.66402149       6.03000021    
       21600   4.37672138       6.69552755       3.82999992    
       21660   4.40131140       6.72640467       3.82999992    
       21720   4.42180347       6.75505114       3.82999992    
       21780   4.44032764       6.78030443       3.82999992    
       21840   4.46459007       6.80122375       3.82999992    
       21900   4.48295069       6.81688166       3.82999992    
       21960   4.49311495       6.82571840       3.82999992    
       22020   4.50573778       6.82598019       3.82999992    
       22080   4.51770496       6.81819153       3.82999992    
       22140   4.52950811       6.80506468       3.82999992    
       22200   4.54098368       6.78796530       3.82999992    
       22260   4.55999994       6.76582479       3.82999992    
       22320   4.57852459       6.73740578       3.82999992    
       22380   4.59409857       6.70267630       3.82999992    
       22440   4.60918045       6.66288662       3.82999992    
       22500   4.62442636       6.62070704       3.82999992    
       22560   4.63590145       6.57938433       3.82999992    
       22620   4.64622974       6.54141569       3.82999992    
       22680   4.65655756       6.50813627       3.82999992    
       22740   4.66442633       6.47947407       3.82999992    
       22800   4.67049170       6.45401001       3.82999992    
       22860   4.67704916       6.42917109       3.82999992    
       22920   4.68524599       6.40201235       3.82999992    
       22980   4.69229507       6.37080669       3.82999992    
       23040   4.69852448       6.33610010       3.82999992    
       23100   4.69344282       6.30071545       3.82999992    
       23160   4.69311476       6.26879501       3.82999992    
       23220   4.68639326       6.24316072       3.82999992    
       23280   4.68721294       6.22378731       3.82999992    
       23340   4.69049168       6.20878983       3.82999992    
       23400   4.69344282       6.19572353       3.82999992    
       23460   4.68704939       6.18239784       3.82999992    
       23520   4.68081951       6.16718769       3.82999992    
       23580   4.67098379       6.14878082       3.82999992    
       23640   4.65836048       6.12588549       3.82999992    
       23700   4.64475393       6.09784031       3.82999992    
       23760   4.63196707       6.06500340       3.82999992    
       23820   4.60967207       6.02882338       3.82999992    
       23880   4.58426237       5.99192572       3.82999992    
       23940   4.55360651       5.95687246       3.82999992    
       24000   4.51704931       5.92447281       3.82999992    
       24060   4.48344278       5.89441490       3.82999992    
       24120   4.45688534       5.86641026       3.82999992    
