 20181009
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
       11580   5.35237026       5.39619160       5.30616617    
       11640   5.34626913       5.40022469       5.29804182    
       11700   5.34626913       5.40022469       5.28941202    
       11760   5.34130764       5.40292692       5.28012466    
       11820   5.34130764       5.40292692       5.27063322    
       11880   5.33530760       5.40556097       5.26140594    
       11940   5.33107424       5.40556097       5.25172424    
       12000   5.33315372       5.40422201       5.24194479    
       12060   5.32359266       5.40422201       5.23181009    
       12120   5.32359266       5.40154696       5.22171545    
       12180   5.32519245       5.40154696       5.21161222    
       12240   5.31096315       5.39968204       5.20113420    
       12300   5.31349993       5.39968204       5.19052124    
       12360   5.31349993       5.39667416       5.17982483    
       12420   5.31714821       5.39667416       5.17091990    
       12480   5.30515385       5.39167690       5.16282940    
       12540   5.30515385       5.39167690       5.15592480    
       12600   5.30515385       5.38623428       5.14858103    
       12660   5.28453827       5.38623428       5.14047861    
       12720   5.28096008       5.38432980       5.13167429    
       12780   5.28096008       5.38432980       5.12241411    
       12840   5.26784611       5.38455677       5.11341429    
       12900   5.26340008       5.38455677       5.10463333    
       12960   5.26340008       5.38237667       5.09666586    
       13020   5.26087523       5.38237667       5.08939743    
       13080   5.26087523       5.37708330       5.08195734    
       13140   5.25382614       5.37708330       5.07444811    
       13200   5.25372744       5.37089729       5.06576014    
       13260   5.25372744       5.37089729       5.05686712    
       13320   5.25372744       5.36576700       5.04769373    
       13380   5.25372744       5.36576700       5.03963947    
       13440   5.24266672       5.35908556       5.03211403    
       13500   5.23104525       5.35908556       5.02539730    
       13560   5.19495440       5.35039902       5.01892614    
       13620   5.18769550       5.35039902       5.01234722    
       13680   5.17222738       5.34117556       5.00623655    
       13740   5.16647816       5.34117556       4.99950552    
       13800   5.15409088       5.33278799       4.99280691    
       13860   5.15409088       5.33278799       4.98587513    
       13920   5.14886951       5.32548618       4.97924805    
       13980   5.12765217       5.32548618       4.97311449    
       14040   5.11163616       5.31943798       4.96648693    
       14100   5.11163616       5.31943798       4.95920849    
       14160   5.11163616       5.31231785       4.95013046    
       14220   5.11134768       5.31231785       4.93980312    
       14280   5.08727264       5.30478907       5.04559517    
       14340   5.08727264       5.30478907       5.03167534    
       14400   5.06452179       5.29572105       5.01689291    
       14460   5.05945444       5.29572105       5.00130653    
       14520   5.02936363       5.28102493       4.98447418    
       14580   5.00530434       5.28102493       4.96638250    
       14640   4.99618196       5.25961924       4.94839907    
       14700   4.99618196       5.25961924       4.93000174    
       14760   4.97682619       5.23435879       4.91121721    
       14820   4.96822739       5.23435879       4.89165258    
       14880   4.95578241       5.20261049       4.87146950    
       14940   4.94099998       5.20261049       4.85146570    
       15000   4.93786383       5.17003584       4.83135796    
       15060   4.93786383       5.17003584       4.81195688    
       15120   4.93786383       5.13547850       4.79239845    
       15180   4.92965221       5.13547850       4.77313328    
       15240   4.91404533       5.09673214       4.75402308    
       15300   4.89978266       5.09673214       4.73622847    
       15360   4.89978266       5.06014156       4.71994066    
       15420   4.87760878       5.06014156       4.70437002    
       15480   4.87760878       5.02621889       4.68946981    
       15540   4.85543489       5.02621889       4.67436171    
       15600   4.83881807       4.99307108       4.65928555    
       15660   4.82795668       4.99307108       4.64401531    
       15720   4.81672716       4.96367216       4.62861300    
       15780   4.80652189       4.96367216       4.61286736    
       15840   4.80652189       4.93574286       4.59728479    
       15900   4.80040932       4.93574286       4.58133221    
       15960   4.80040932       4.90809631       4.56469584    
       16020   4.81021738       4.90809631       4.54770708    
       16080   4.78286362       4.87837219       4.53004265    
       16140   4.78286362       4.87837219       4.51314259    
       16200   4.77956533       4.84838486       4.49591208    
       16260   4.77956533       4.84838486       4.47956276    
       16320   4.77530432       4.81869745       4.46383333    
       16380   4.77783346       4.81869745       4.44835758    
       16440   4.77783346       4.78671074       4.43389416    
       16500   4.77078247       4.78671074       4.41953230    
       16560   4.77587509       4.75331831       4.40509462    
       16620   4.77827978       4.75331831       4.39008713    
       16680   4.77827978       4.72150850       4.37491846    
       16740   4.77827978       4.72150850       4.36015272    
       16800   4.77703857       4.69300365       4.34566021    
       16860   4.77703857       4.69300365       4.33226442    
       16920   4.77703857       4.66384315       4.31876564    
       16980   4.77970362       4.66384315       4.30578136    
       17040   4.77970362       4.63310623       4.29325247    
       17100   4.78149986       4.63310623       4.28152275    
       17160   4.77388906       4.60477543       4.26937962    
       17220   4.76844454       4.60477543       4.25687313    
       17280   4.75846148       4.57788658       4.24456406    
       17340   4.75888872       4.57788658       4.23162413    
       17400   4.74807692       4.55280066       4.21872282    
       17460   4.74807692       4.55280066       4.20524836    
       17520   4.74877787       4.52579737       4.19171095    
       17580   4.73780775       4.52579737       4.17765284    
       17640   4.73223066       4.49917412       4.16352987    
       17700   4.73911095       4.49917412       4.14995146    
       17760   4.73911095       4.47259617       4.13639355    
       17820   4.75271416       4.47259617       4.12420702    
       17880   4.73966646       4.44494724       4.73873186    
       17940   4.73966646       4.44494724       4.74161673    
       18000   4.74210691       4.41696787       4.74406052    
       18060   4.75321436       4.41696787       4.74632215    
       18120   4.75321436       4.39060211       4.74856615    
       18180   4.76821423       4.39060211       4.75157070    
       18240   4.77903700       4.36685801       4.75541306    
       18300   4.77903700       4.36685801       4.75851822    
       18360   4.78407145       4.34294415       4.76102304    
       18420   4.79270363       4.34294415       4.76346588    
       18480   4.79535723       4.32294464       4.76642179    
       18540   4.80164289       4.32294464       4.77034569    
       18600   4.80392599       4.30739975       4.77453184    
       18660   4.81428576       4.30739975       4.77905178    
       18720   4.81428576       4.29048824       4.78316832    
       18780   4.81313801       4.29048824       4.78816652    
       18840   4.81542873       4.27526569       4.79285622    
       18900   4.81542873       4.27526569       4.79775095    
       18960   4.81539297       4.26520157       4.80190754    
       19020   4.81539297       4.26520157       4.80501366    
       19080   4.81300020       4.25801611       4.80787802    
       19140   4.80651712       4.25801611       4.81023788    
       19200   4.81307125       4.25037670       4.81210756    
       19260   4.81307125       4.25037670       4.81346941    
       19320   4.81953573       4.24226713       4.81498623    
       19380   4.81893110       4.24226713       4.81749916    
       19440   4.82739305       4.23374844       4.82086611    
       19500   4.82739305       4.23374844       4.82447386    
       19560   4.82739305       4.22425413       4.82710791    
       19620   4.83993101       4.22425413       4.82954025    
       19680   4.83328581       4.21447706       4.83100891    
       19740   4.83328581       4.21447706       4.83213758    
       19800   4.82793093       4.20796680       4.83223915    
       19860   4.82575846       4.20796680       4.83214331    
       19920   4.82575846       4.20238256       4.83139277    
