 20181204
 Seconds  Measures(WD-m/s_VX)  Measures(WD-m/s_VY)  Meso-NH(WD-m/s_VX)  Meso-NH(WD-m/s_VY)  FORECAST_AR(WD-m/s_VX)  FORECAST_AR(WD-m/s_VY)
       10920   7.97063446      -14.1526709       3.97962570      -8.00685120       7.95115519      -14.1338120    
       10980   7.96903467      -14.1592264       3.98704958      -8.01032639       7.90852165      -14.1124105    
       11040   7.99219561      -14.1554785       3.98978281      -8.01279926       7.86694479      -14.0854359    
       11100   8.02394104      -14.1651716       3.97981882      -8.01190281       7.82646894      -14.0485020    
       11160   8.01483631      -14.1694565       3.95387459      -8.00712681       7.78973627      -14.0076523    
       11220   8.02587891      -14.1700830       3.92189288      -7.99859095       7.75983858      -13.9480400    
       11280   8.01684856      -14.1730280       3.89981127      -7.98289537       7.73623753      -13.8845291    
       11340   7.95406866      -14.1711655       3.88946009      -7.95133448       7.72299862      -13.8297501    
       11400   7.95120573      -14.1841736       3.88186598      -7.90332556       7.70979977      -13.7910032    
       11460   7.96050167      -14.1713905       3.87579966      -7.85419798       7.67792130      -13.7670002    
       11520   7.96863031      -14.1454754       3.87455034      -7.81845713       7.63403749      -13.7572451    
       11580   7.94332600      -14.1286182       3.87142491      -7.80045366       7.59232283      -13.7612038    
       11640   7.94319773      -14.1188965       3.85388041      -7.79867935       7.55545902      -13.7609234    
       11700   7.92953682      -14.0978613       3.82089520      -7.80895996       7.51443195      -13.7579060    
       11760   7.91224146      -14.0401487       3.78452277      -7.82430696       7.47083426      -13.7584248    
       11820   7.90905380      -14.0179815       3.75277066      -7.83905745       7.43737173      -13.7534113    
       11880   7.87043190      -13.9492893       3.72249413      -7.84918165       7.40950727      -13.7438173    
       11940   7.84784079      -13.9348145       3.69432950      -7.85345173       7.36947393      -13.7342062    
       12000   7.84410572      -13.8976727       3.67272353      -7.85601521       7.31092453      -13.7139206    
       12060   7.82604456      -13.8353529       3.65298271      -7.85938215       7.23651648      -13.6833210    
       12120   7.82303524      -13.8392344       3.62535095      -7.86190844       7.15866566      -13.6473732    
       12180   7.81299782      -13.8009462       3.58101821      -7.85864735       7.08481646      -13.6110020    
       12240   7.80118465      -13.7612057       3.52338505      -7.84685326       7.00504827      -13.5751772    
