 20190712
 Seconds  Measures(GLF-%)  Meso-NH(GLF-%)  FORECAST_AR(GLF-%)
       46380   79.4844437       55.0950317       77.9098587    
       46440   79.5652161       54.9087029       77.8869095    
       46500   79.3799973       54.9087029       77.7970810    
       46560   79.4466629       54.8872528       77.6204605    
       46620   79.4311142       54.8872528       77.3860397    
       46680   79.5717392       55.0159225       79.2460098    
       46740   79.4422226       55.0159225       79.3326263    
       46800   79.5733337       54.7855797       79.4220657    
       46860   79.7088852       54.7855797       79.3947220    
       46920   79.8499985       54.5148010       79.3477859    
       46980   79.8311081       54.5148010       79.3606262    
       47040   79.8777771       54.2992630       79.3714905    
       47100   79.7822189       54.2992630       79.2910538    
       47160   79.8782578       54.1365623       79.1905746    
       47220   79.6565247       54.1365623       79.1151886    
       47280   79.6377792       53.9435158       79.1056213    
       47340   79.4066696       53.9435158       79.0655060    
       47400   79.3673935       53.6664124       79.0020523    
       47460   79.1934814       53.6664124       78.8664169    
       47520   79.0599976       53.4975204       78.6920547    
       47580   79.1021729       53.4975204       78.5796585    
       47640   79.2630463       53.3539162       78.4743195    
       47700   79.2956543       53.3539162       78.3661041    
       47760   79.2956543       53.0427284       78.2903519    
       47820   79.5043488       53.0427284       78.1688385    
       47880   79.4434814       52.7651787       77.9971542    
       47940   79.3130417       52.7651787       77.8230820    
       48000   79.3130417       52.6359444       77.6022720    
       48060   79.1369553       52.6359444       77.3253250    
       48120   78.7347794       52.4047775       77.0518723    
       48180   78.3413010       52.4047775       76.7398224    
       48240   78.3413010       51.9238281       76.4234924    
       48300   77.8065186       51.9238281       76.1508942    
       48360   77.4065247       51.3756180       75.8557053    
       48420   78.0956497       51.3756180       75.6169891    
       48480   78.0956497       50.8202705       75.4833374    
       48540   78.0260849       50.8202705       75.4189224    
       48600   77.9543457       50.2966499       75.4023438    
       48660   77.8673935       50.2966499       75.3693161    
       48720   77.8673935       50.0806503       75.3186951    
       48780   78.1586990       50.0806503       75.2706223    
       48840   78.4847794       50.1177368       75.2566757    
       48900   78.7155533       50.1177368       75.3076248    
       48960   78.2739105       50.1451111       75.3186951    
       49020   78.2282639       50.1451111       75.3138885    
       49080   78.1200027       50.2546043       75.2863541    
       49140   77.9311142       50.2546043       75.2558975    
       49200   77.8652191       50.2880974       75.2199020    
       49260   77.6195679       50.2880974       75.1804504    
       49320   77.4488907       50.2545776       75.1135406    
       49380   77.2799988       50.2545776       75.0296707    
       49440   76.9804382       50.2370110       74.9762726    
       49500   76.7260895       50.2370110       74.9424591    
       49560   76.5400009       50.1758652       74.9037552    
       49620   76.4511108       50.1758652       74.8832932    
       49680   76.2347794       50.2006912       74.8368912    
       49740   76.7521744       50.2006912       74.7650681    
       49800   76.8244476       50.2369652       74.7169113    
       49860   76.5866699       50.2369652       74.6824112    
       49920   76.6326065       50.2308693       74.6367722    
       49980   76.5999985       50.2308693       74.5742645    
       50040   76.4499969       50.2908363       74.4809723    
       50100   76.3000031       50.2908363       74.3799820    
       50160   76.2347794       50.3452377       74.2779388    
       50220   75.9000015       50.3452377       74.1962051    
       50280   75.6111145       50.2547722       75.3422318    
       50340   75.3799973       50.2547722       75.2631836    
       50400   75.5000000       50.1723251       75.1579666    
       50460   75.4869537       50.1723251       74.9843979    
       50520   75.3799973       50.2028084       74.8986130    
       50580   74.8555527       50.2028084       74.7614670    
       50640   74.9478226       50.2115402       74.6312637    
       50700   74.6844482       50.2115402       74.5385818    
       50760   74.4522705       50.2242012       74.5088577    
       50820   74.2255783       50.2242012       74.4260483    
       50880   74.4395370       50.2828102       74.4017410    
       50940   74.4395370       50.2828102       74.3320770    
       51000   74.5069733       50.4385643       74.2822418    
       51060   74.5837173       50.4385643       74.2686234    
       51120   74.7441864       50.6345367       74.3430176    
       51180   74.7441864       50.6345367       74.4329681    
       51240   74.8488388       50.9265862       74.4686432    
