 20190426
 Seconds  Measures(RH-%)  Meso-NH(RH-%)  FORECAST_AR(RH-%)
       21000   36.6065559       27.1075592       25.0000000    
       21060   36.9016380       27.1398830       25.0000000    
       21120   37.1967201       27.1710262       25.0000000    
       21180   37.4754105       27.2015514       25.0000000    
       21240   37.7540970       27.2310505       25.0000000    
       21300   38.0327873       27.2578297       25.0000000    
       21360   38.2950821       27.2802830       25.0000000    
       21420   38.5081978       27.2973957       25.0000000    
       21480   38.6721306       27.3088455       25.0000000    
       21540   38.7704926       27.3139000       25.0000000    
       21600   38.8524590       27.3129597       44.0000000    
       21660   38.9344254       27.3080502       44.0000000    
       21720   39.0163918       27.3007965       44.0000000    
       21780   39.1147537       27.2915630       44.0000000    
       21840   39.2622948       27.2796307       44.0000000    
       21900   39.5081978       27.2633419       44.0000000    
       21960   39.7377052       27.2415352       44.0000000    
       22020   39.8852463       27.2145596       44.0000000    
       22080   40.0163918       27.1811428       44.0000000    
       22140   40.1147537       27.1386375       44.0000000    
       22200   40.1639328       27.0842438       44.0000000    
       22260   40.1311493       27.0175800       44.0000000    
       22320   40.0983620       26.9410877       44.0000000    
       22380   40.0819664       26.8572865       44.0000000    
       22440   40.0819664       26.7672215       44.0000000    
       22500   40.0655746       26.6709576       44.0000000    
       22560   40.1311493       26.5694942       44.0000000    
       22620   40.2295074       26.4655190       44.0000000    
       22680   40.2786903       26.3625641       44.0000000    
       22740   40.3114738       26.2621574       44.0000000    
       22800   40.2950821       26.1635971       44.0000000    
       22860   40.2131157       26.0656910       44.0000000    
       22920   40.1475410       25.9674835       44.0000000    
       22980   40.0819664       25.8695049       44.0000000    
       23040   39.9836082       25.7730389       44.0000000    
       23100   39.8852463       25.6770477       44.0000000    
       23160   39.7540970       25.5796719       44.0000000    
       23220   39.6229515       25.4801579       44.0000000    
       23280   39.4590149       25.3791256       44.0000000    
       23340   39.3278694       25.2782326       44.0000000    
       23400   39.1803284       25.1782188       44.0000000    
       23460   38.9344254       25.0754738       44.0000000    
       23520   38.6393433       24.9644966       44.0000000    
       23580   38.3114738       24.8464241       44.0000000    
       23640   38.0491791       24.7263851       44.0000000    
       23700   37.8688507       24.6070366       44.0000000    
       23760   37.7049179       24.4884071       44.0000000    
       23820   37.5573769       24.3694553       44.0000000    
       23880   37.4262314       24.2494450       44.0000000    
       23940   37.1803284       24.1281910       44.0000000    
       24000   36.9180336       24.0047512       44.0000000    
       24060   36.7540970       23.8780346       44.0000000    
       24120   36.6557388       23.7476749       44.0000000    
       24180   36.5245895       23.6144505       44.0000000    
       24240   36.3606567       23.4800014       44.0000000    
       24300   36.1967201       23.3457699       44.0000000    
       24360   36.0327873       23.2125912       44.0000000    
       24420   35.9016380       23.0808182       44.0000000    
       24480   35.7868843       22.9503231       44.0000000    
       24540   35.7049179       22.8211021       44.0000000    
       24600   35.6229515       22.6936302       44.0000000    
       24660   35.5245895       22.5693531       44.0000000    
       24720   35.4262314       22.4502583       44.0000000    
       24780   35.2622948       22.3370819       44.0000000    
       24840   35.1311493       22.2294426       44.0000000    
       24900   34.9836082       22.1265850       44.0000000    
       24960   34.8196716       22.0266438       44.0000000    
       25020   34.6721306       21.9268055       44.0000000    
       25080   34.5245895       21.8248558       44.0000000    
       25140   34.4262314       21.7205734       44.0000000    
       25200   34.3278694       21.6144428       26.0000000    
       25260   34.2459030       21.5065498       26.0000000    
       25320   34.1475410       21.3977013       26.0000000    
       25380   34.0655746       21.2892132       26.0000000    
       25440   34.0000000       21.1819115       26.0000000    
       25500   33.9508209       21.0762539       26.0000000    
       25560   33.9016380       20.9724617       26.0000000    
       25620   33.8360672       20.8706169       26.0000000    
       25680   33.7540970       20.7729721       26.0000000    
       25740   33.6721306       20.6823006       26.0000000    
       25800   33.6065559       20.6007271       26.0000000    
       25860   33.5737686       20.5288353       26.0000000    
       25920   33.5245895       20.4661503       26.0000000    
       25980   33.4590149       20.4130344       26.0000000    
       26040   33.3770485       20.3709679       26.0000000    
       26100   33.3114738       20.3395691       26.0000000    
       26160   33.2295074       20.3149853       26.0000000    
       26220   33.1475410       20.2904720       26.0000000    
       26280   33.0655746       20.2620697       26.0000000    
       26340   33.0163918       20.2303028       26.0000000    
       26400   32.9836082       20.1975060       26.0000000    
       26460   32.9344254       20.1660442       26.0000000    
       26520   32.9016380       20.1380672       26.0000000    
       26580   32.8524590       20.1147957       26.0000000    
       26640   32.8032799       20.0964680       26.0000000    
       26700   32.7540970       20.0836849       26.0000000    
       26760   32.7049179       20.0760727       26.0000000    
       26820   32.6557388       20.0728741       26.0000000    
       26880   32.6065559       20.0758591       26.0000000    
       26940   32.5737686       20.0877724       26.0000000    
       27000   32.5081978       20.1076794       26.0000000    
       27060   32.4426231       20.1322250       26.0000000    
       27120   32.4918022       20.1585636       26.0000000    
       27180   32.5901642       20.1859989       26.0000000    
       27240   32.7213097       20.2143536       26.0000000    
       27300   32.7868843       20.2425022       26.0000000    
       27360   32.7540970       20.2689152       26.0000000    
       27420   32.7049179       20.2928600       26.0000000    
       27480   32.6557388       20.3146877       26.0000000    
       27540   32.5901642       20.3362427       26.0000000    
       27600   32.6393433       20.3595753       26.0000000    
       27660   32.7213097       20.3857975       26.0000000    
       27720   32.7213097       20.4147339       26.0000000    
       27780   32.6557388       20.4458618       26.0000000    
       27840   32.5901642       20.4788551       26.0000000    
       27900   32.5737686       20.5120945       26.0000000    
       27960   32.5409851       20.5434570       26.0000000    
       28020   32.5081978       20.5715790       26.0000000    
       28080   32.4426231       20.5958118       26.0000000    
       28140   32.3606567       20.6160660       26.0000000    
       28200   32.2622948       20.6328449       26.0000000    
       28260   32.1803284       20.6460552       26.0000000    
       28320   32.1147537       20.6539974       26.0000000    
       28380   32.0491791       20.6542950       26.0000000    
       28440   32.0491791       20.6466084       26.0000000    
       28500   32.0327873       20.6331635       26.0000000    
       28560   32.0491791       20.6165466       26.0000000    
       28620   32.0819664       20.5968361       26.0000000    
       28680   32.0983620       20.5732765       26.0000000    
       28740   32.1147537       20.5473080       26.0000000    
       28800   32.0983620       20.5209618       32.0000000    
       28860   32.0983620       20.4947128       32.0000000    
       28920   32.0819664       20.4669495       32.0000000    
       28980   32.0819664       20.4365311       32.0000000    
