 20190128
 Seconds  Measures(WD-m/s_VX)  Measures(WD-m/s_VY)  Meso-NH(WD-m/s_VX)  Meso-NH(WD-m/s_VY)  FORECAST_AR(WD-m/s_VX)  FORECAST_AR(WD-m/s_VY)
       20700  0.158056751       4.92183733       1.94733810       3.62449241       3.74337244       2.07498527    
       20760  0.129362628       4.96539164       1.93145478       3.63967156       3.74337244       2.07498527    
       20820   9.27754343E-02   5.00470543       1.91128290       3.64984107       3.74337244       2.07498527    
       20880   5.88161051E-02   5.05482101       1.88994646       3.65395808       3.74337244       2.07498527    
       20940   1.00728273E-02   5.08893251       1.87231755       3.65460610       3.74337244       2.07498527    
       21000  -7.65450811E-03   5.11278009       1.85852635       3.65793943       3.74337244       2.07498527    
       21060  -3.85613069E-02   5.11984539       1.84448314       3.66787791       3.74337244       2.07498527    
       21120  -7.25782216E-02   5.15700483       1.82774913       3.68497157       3.74337244       2.07498527    
       21180 -0.113815330       5.20917177       1.80799806       3.71096587       3.74337244       2.07498527    
       21240 -0.143732190       5.24558115       1.78618729       3.74544597       3.74337244       2.07498527    
       21300 -0.180986628       5.26095104       1.76465368       3.78292584       3.74337244       2.07498527    
       21360 -0.215174019       5.28891277       1.74538541       3.81888056       3.74337244       2.07498527    
       21420 -0.243552238       5.30952215       1.72749007       3.85308862       3.74337244       2.07498527    
       21480 -0.274258018       5.32566547       1.70772755       3.88714051       3.74337244       2.07498527    
       21540 -0.305671394       5.33266115       1.68333173       3.92166519       3.74337244       2.07498527    
       21600 -0.339817315       5.32314873       1.65376639       3.95674348       3.74337244       2.07498527    
       21660 -0.371287942       5.29249382       1.62110400       3.99169350       1.02916288       4.84183073    
       21720 -0.398960680       5.26890707       1.58924544       4.02492714       1.02916288       4.84183073    
       21780 -0.427429914       5.25194979       1.56171906       4.05551720       1.02916288       4.84183073    
       21840 -0.454740345       5.24026299       1.54006231       4.08308506       1.02916288       4.84183073    
       21900 -0.479816318       5.22891426       1.52315247       4.10633326       1.02916288       4.84183073    
       21960 -0.513045132       5.21540356       1.50716019       4.12361574       1.02916288       4.84183073    
       22020 -0.553000987       5.20341492       1.48703229       4.13462591       1.02916288       4.84183073    
       22080 -0.589893699       5.18782949       1.45934737       4.13980341       1.02916288       4.84183073    
       22140 -0.627435207       5.16904497       1.42384124       4.13963938       1.02916288       4.84183073    
       22200 -0.673263311       5.14207649       1.38285339       4.13546562       1.02916288       4.84183073    
       22260 -0.711815298       5.11937857       1.33994174       4.12884331       1.02916288       4.84183073    
       22320 -0.754382551       5.08963156       1.29859567       4.12036228       1.02916288       4.84183073    
       22380 -0.795198321       5.05615520       1.26072848       4.10997438       1.02916288       4.84183073    
       22440 -0.845777333       5.03148985       1.22564983       4.09822845       1.02916288       4.84183073    
       22500 -0.901100576       4.99756908       1.19069660       4.08627510       1.02916288       4.84183073    
       22560 -0.955046535       4.97106075       1.15258348       4.07558346       1.02916288       4.84183073    
       22620  -1.01792967       4.93803120       1.10880506       4.06791639       1.02916288       4.84183073    
       22680  -1.07441461       4.90272617       1.05876732       4.06388569       1.02916288       4.84183073    
       22740  -1.13381374       4.87709570       1.00354230       4.06125212       1.02916288       4.84183073    
       22800  -1.19953156       4.84637785      0.944946468       4.05654335       1.02916288       4.84183073    
       22860  -1.25864077       4.82043171      0.885920763       4.04832363       1.02916288       4.84183073    
       22920  -1.32429039       4.79683542      0.830555856       4.03707600       1.02916288       4.84183073    
       22980  -1.40046740       4.76763296      0.782183051       4.02432203       1.02916288       4.84183073    
       23040  -1.47063470       4.74061441      0.741306007       4.01219463       1.02916288       4.84183073    
       23100  -1.54229641       4.72305393      0.706599832       4.00221539       1.02916288       4.84183073    
       23160  -1.59196913       4.69786644      0.676417410       3.99535227       1.02916288       4.84183073    
       23220  -1.63533390       4.67183256      0.649112999       3.99361491       1.02916288       4.84183073    
       23280  -1.68453836       4.65643692      0.622947395       3.99823117       1.02916288       4.84183073    
       23340  -1.74091399       4.63919640      0.595760167       4.00636768       1.02916288       4.84183073    
