 20181222
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       43080   2.53577280       2.10555720       2.33878994    
       43140   2.53577280       2.10555720       2.33643985    
       43200   2.54809093       2.10126925       2.33457947    
       43260   2.55197716       2.10126925       2.33333921    
       43320   2.55831814       2.09926820       2.33241653    
       43380   2.55831814       2.09926820       2.33201051    
       43440   2.56661367       2.09956765       2.33175349    
       43500   2.57229543       2.09956765       2.33170223    
       43560   2.58165908       2.10129404       2.33173180    
       43620   2.58165908       2.10129404       2.33173776    
       43680   2.61070466       2.10380220       2.33176112    
       43740   2.61897779       2.10380220       2.33165789    
       43800   2.63309097       2.10671878       2.33128309    
       43860   2.64568186       2.10671878       2.33060646    
       43920   2.65765905       2.10972714       2.32980299    
       43980   2.66271114       2.10972714       2.32882404    
       44040   2.67575002       2.11158228       2.32794094    
       44100   2.69059086       2.11158228       2.32710767    
       44160   2.69057775       2.11289597       2.32623196    
       44220   2.69902277       2.11289597       2.32532310    
       44280   2.70818186       2.11455822       2.32427311    
       44340   2.71028900       2.11455822       2.32320142    
       44400   2.72313643       2.11611176       2.32227039    
       44460   2.74179554       2.11611176       2.32169104    
       44520   2.75895452       2.11714745       2.32183623    
       44580   2.75213337       2.11714745       2.32292533    
       44640   2.77040911       2.11865473       2.32460642    
       44700   2.78313637       2.11865473       2.32681203    
       44760   2.79045463       2.12293458       2.32931352    
       44820   2.78757787       2.12293458       2.33187485    
       44880   2.79434085       2.12947798       2.33444357    
       44940   2.79452276       2.12947798       2.33691716    
       45000   2.80551171       2.13704133       2.33958101    
       45060   2.79502273       2.13704133       2.34232426    
       45120   2.79511356       2.14450979       2.34510231    
       45180   2.80627918       2.14450979       2.34795475    
       45240   2.79381824       2.15263557       2.35050082    
       45300   2.79159093       2.15263557       2.35304451    
       45360   2.78602266       2.16076159       2.35557270    
       45420   2.78944182       2.16076159       2.35819721    
       45480   2.78486371       2.16763163       2.36107206    
       45540   2.77715898       2.16763163       2.36378193    
       45600   2.77088380       2.17430139       2.36619091    
       45660   2.75541854       2.17430139       2.36790156    
       45720   2.74725008       2.18183064       2.36897755    
       45780   2.75151157       2.18183064       2.36976576    
       45840   2.73841858       2.18805337       2.37074423    
       45900   2.72665119       2.18805337       2.37264800    
       45960   2.72375011       2.19163322       2.37565494    
       46020   2.70781398       2.19163322       2.37933135    
       46080   2.69286036       2.19582725       2.38357878    
       46140   2.69011354       2.19582725       2.38757229    
       46200   2.68304658       2.20425534       2.39113283    
       46260   2.68174410       2.20425534       2.39442110    
       46320   2.65997672       2.21481061       2.39732194    
       46380   2.64288640       2.21481061       2.40070820    
       46440   2.63846517       2.22356319       2.40443182    
       46500   2.62693024       2.22356319       2.40833378    
       46560   2.62209082       2.23069692       2.41243267    
       46620   2.61339545       2.23069692       2.41629958    
       46680   2.59460473       2.23904562       2.83421159    
       46740   2.58039546       2.23904562       2.83414555    
       46800   2.56665897       2.24806237       2.83356261    
       46860   2.56139541       2.24806237       2.83237457    
       46920   2.54513955       2.25597453       2.83061719    
       46980   2.53562784       2.25597453       2.82851672    
       47040   2.52136374       2.26188445       2.82638073    
       47100   2.51309299       2.26188445       2.82464600    
       47160   2.50176740       2.26572013       2.82335210    
       47220   2.48416281       2.26572013       2.82256079    
       47280   2.48416281       2.26955009       2.82224226    
       47340   2.46581388       2.26955009       2.82236266    
       47400   2.43825579       2.27482843       2.82199836    
       47460   2.42863631       2.27482843       2.82135820    
       47520   2.41718602       2.28196454       2.82017732    
       47580   2.40313959       2.28196454       2.81834435    
       47640   2.39627910       2.28691483       2.81664467    
       47700   2.39315915       2.28691483       2.81477523    
       47760   2.38565111       2.28956032       2.81317544    
       47820   2.37320924       2.28956032       2.81197858    
       47880   2.37320924       2.29246116       2.81105661    
       47940   2.36728573       2.29246116       2.81051350    
       48000   2.35665846       2.29634070       2.81034231    
       48060   2.35665846       2.29634070       2.81036568    
       48120   2.34587502       2.30106425       2.81049371    
       48180   2.33874369       2.30106425       2.81036377    
       48240   2.33576322       2.30714393       2.80979037    
       48300   2.33576322       2.30714393       2.80909395    
       48360   2.32564855       2.31327701       2.80828190    
       48420   2.31491661       2.31327701       2.80759764    
       48480   2.30502868       2.31741714       2.80673265    
