 20181115
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       43200   4.18584108       3.15514708       3.91071868    
       43260   4.19537210       3.15514708       4.22703743    
       43320   4.22604656       3.14051294       4.23159695    
       43380   4.22913647       3.14051294       4.23512459    
       43440   4.24713945       3.12463355       4.23895168    
       43500   4.26223278       3.12463355       4.24563646    
       43560   4.26375008       3.10521674       4.24911356    
       43620   4.26111650       3.10521674       4.24816179    
       43680   4.26047611       3.07882762       4.24754810    
       43740   4.26047611       3.07882762       4.24987364    
       43800   4.24887800       3.05413985       4.25618076    
       43860   4.24887800       3.05413985       4.26409578    
       43920   4.24472523       3.03252649       4.27394676    
       43980   4.23928213       3.03252649       4.28264380    
       44040   4.25087166       3.02264595       4.29312706    
       44100   4.24992514       3.02264595       4.30124950    
       44160   4.25284624       3.01771641       4.31092834    
       44220   4.23828220       3.01771641       4.31953287    
       44280   4.23302555       3.01455545       4.32849503    
       44340   4.22347498       3.01455545       4.34041166    
       44400   4.22238445       3.01109028       4.35621834    
       44460   4.21969986       3.01109028       4.36955643    
       44520   4.21877480       3.00325751       4.38503027    
       44580   4.20771790       3.00325751       4.39876413    
       44640   4.17700005       3.00994635       4.40927601    
       44700   4.17642498       3.00994635       4.42074919    
       44760   4.17517519       3.02922702       4.43123245    
       44820   4.17156410       3.02922702       4.44394779    
       44880   4.18305016       3.03511596       4.45495081    
       44940   4.17714977       3.03511596       4.46542311    
       45000   4.17222500       3.04347110       4.47223711    
       45060   4.18587160       3.04347110       4.48002863    
       45120   4.18725014       3.05193257       4.48866844    
       45180   4.20152521       3.05193257       4.49465370    
       45240   4.22732496       3.04731011       4.50131369    
       45300   4.22732496       3.04731011       4.50766897    
       45360   4.23019981       3.04732752       4.51203537    
       45420   4.23872519       3.04732752       4.51592398    
       45480   4.25767517       3.05225801       4.51964474    
       45540   4.25812817       3.05225801       4.52293396    
       45600   4.27279997       3.04913640       4.52800560    
       45660   4.28317499       3.04913640       4.53106785    
       45720   4.30282497       3.04011774       4.53102064    
       45780   4.30282497       3.04011774       4.53118277    
       45840   4.32049990       3.04512119       4.53069687    
       45900   4.33909988       3.04512119       4.52866793    
       45960   4.34142494       3.04173112       4.52635384    
       46020   4.34142494       3.04173112       4.52493763    
       46080   4.34717512       3.03508806       4.52401733    
       46140   4.36267519       3.03508806       4.52474308    
       46200   4.37642479       3.02608156       4.52702045    
       46260   4.37642479       3.02608156       4.53185368    
       46320   4.41004992       3.02150011       4.53818035    
       46380   4.45429993       3.02150011       4.54376554    
       46440   4.47197485       3.02338004       4.55142879    
       46500   4.50095129       3.02338004       4.56160831    
       46560   4.50842524       3.03168511       4.57414865    
       46620   4.53927517       3.03168511       4.58669281    
       46680   4.56022501       3.04887128       4.59816217    
       46740   4.56004858       3.04887128       4.60704517    
       46800   4.57690001       3.07365441       4.61235523    
       46860   4.59299994       3.07365441       4.56587744    
       46920   4.59919500       3.09502673       4.56554842    
       46980   4.59382915       3.09502673       4.56740189    
       47040   4.59962511       3.10483813       4.56758976    
       47100   4.60880470       3.10483813       4.56680632    
       47160   4.60948801       3.11188293       4.56930637    
       47220   4.61649990       3.11188293       4.57349014    
       47280   4.59273148       3.11232519       4.57845259    
       47340   4.57885695       3.11232519       4.58505535    
       47400   4.55844164       3.11934066       4.59344339    
       47460   4.53529549       3.11934066       4.59885406    
       47520   4.53529549       3.13695788       4.59876680    
       47580   4.51528883       3.13695788       4.59679604    
       47640   4.50123930       3.15264821       4.59305191    
       47700   4.49897814       3.15264821       4.58999968    
       47760   4.50533342       3.15436745       4.58541298    
       47820   4.49308681       3.15436745       4.57763433    
       47880   4.50888872       3.15089345       4.56836557    
       47940   4.51146650       3.15089345       4.56147671    
       48000   4.51464462       3.14508724       4.55524349    
       48060   4.50304365       3.14508724       4.54818106    
       48120   4.51166677       3.13564754       4.54054165    
       48180   4.51539993       3.13564754       4.53204966    
       48240   4.51441288       3.12950563       4.52088261    
       48300   4.53678274       3.12950563       4.50833225    
       48360   4.54528904       3.12300420       4.49429131    
       48420   4.54906654       3.12300420       4.47998905    
       48480   4.53169584       3.10823393       4.46468735    
       48540   4.53076077       3.10823393       4.45156050    
       48600   4.53739977       3.08801675       4.43783569    
       48660   4.53904438       3.08801675       4.42612648    
       48720   4.53749990       3.06986189       4.41549110    
       48780   4.55384779       3.06986189       4.40549421    
       48840   4.55944443       3.05652332       4.39577007    
       48900   4.55480003       3.05652332       4.38414812    
       48960   4.55323935       3.05007100       4.37188292    
       49020   4.55344439       3.05007100       4.36050272    
       49080   4.55380011       3.04213285       4.34970903    
       49140   4.55408907       3.04213285       4.33718443    
       49200   4.55371761       3.02668381       4.32885838    
       49260   4.54724455       3.02668381       4.31959343    
       49320   4.54102230       3.00876546       4.30959749    
       49380   4.52308893       3.00876546       4.29986572    
       49440   4.51136971       3.00119877       4.29042768    
       49500   4.49959993       3.00119877       4.28120089    
       49560   4.46882200       2.98934269       4.27078485    
       49620   4.44420004       2.98934269       4.25896406    
       49680   4.42486954       2.97997808       4.24597645    
       49740   4.41297770       2.97997808       4.23258209    
       49800   4.39117765       2.96650124       4.21933651    
       49860   4.36993313       2.96650124       4.20645618    
       49920   4.34880447       2.95105338       4.19263744    
       49980   4.32259989       2.95105338       4.18050337    
       50040   4.27995539       2.93708062       4.16575575    
       50100   4.24779987       2.93708062       4.14636898    
       50160   4.21873331       2.92119050       4.12607098    
       50220   4.21873331       2.92119050       4.10602951    
       50280   4.20351124       2.89604878       4.08715582    
       50340   4.19282246       2.89604878       4.07022381    
       50400   4.19211102       2.86679363       4.05484772    
       50460   4.19211102       2.86679363       4.17900229    
       50520   4.18050003       2.84063721       4.17285013    
       50580   4.16499996       2.84063721       4.16799641    
       50640   4.15688086       2.82063651       4.16218328    
       50700   4.15688086       2.82063651       4.15657473    
       50760   4.13690233       2.80822515       4.15173292    
       50820   4.12527514       2.80822515       4.14773512    
       50880   4.12527514       2.79987550       4.14521456    
       50940   4.13766670       2.79987550       4.14473391    
       51000   4.14102650       2.80015874       4.14325190    
       51060   4.15291882       2.80015874       4.14005375    
       51120   4.16994429       2.80381083       4.13581705    
       51180   4.16994429       2.80381083       4.13145018    
       51240   4.18522835       2.80605316       4.12875414    
       51300   4.19452953       2.80605316       4.12571001    
