 20190210
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       50100   1.56262219       1.95425725       2.25108075    
       50160   1.56606817       1.96744239       2.25452304    
       50220   1.57743180       1.96744239       2.25763869    
       50280   1.57847726       1.98060083       1.36612594    
       50340   1.58017778       1.98060083       1.37916625    
       50400   1.58304548       1.99327576       1.39224875    
       50460   1.59481823       1.99327576       1.40544391    
       50520   1.61020458       2.00417042       1.41848159    
       50580   1.62097776       2.00417042       1.43141782    
       50640   1.64431107       2.01430321       1.44440722    
       50700   1.65061367       2.01430321       1.45744789    
       50760   1.67404544       2.02302098       1.47048223    
       50820   1.68734086       2.02302098       1.48335826    
       50880   1.68471110       2.03102899       1.49570048    
       50940   1.69115913       2.03102899       1.50728822    
       51000   1.70486367       2.03881764       1.51840580    
       51060   1.71553338       2.03881764       1.52907109    
       51120   1.72109091       2.04439116       1.53955674    
       51180   1.72109091       2.04439116       1.54997063    
       51240   1.72090697       2.04818892       1.55959690    
       51300   1.72090697       2.04818892       1.56822884    
       51360   1.71985710       2.05117559       1.57586873    
       51420   1.72012198       2.05117559       1.58232522    
       51480   1.74034142       2.05101967       1.58770180    
       51540   1.75750005       2.05101967       1.59214389    
       51600   1.77950001       2.04714513       1.59509897    
       51660   1.80902386       2.04714513       1.59681594    
       51720   1.81548786       2.03902197       1.59741199    
       51780   1.82940471       2.03902197       1.59724402    
       51840   1.85114288       2.02497125       1.59627163    
       51900   1.86217070       2.02497125       1.59444821    
       51960   1.88892686       2.00672269       1.59294546    
       52020   1.90628576       2.00672269       1.59187031    
       52080   1.91561902       1.98589504       1.59230483    
       52140   1.91943908       1.98589504       1.59461856    
       52200   1.93292856       1.96674216       1.59911680    
       52260   1.94926190       1.96674216       1.60422802    
       52320   1.96257138       1.95385933       1.60992038    
       52380   1.96257138       1.95385933       1.61595905    
       52440   1.98661900       1.94982684       1.62205029    
       52500   2.00847626       1.94982684       1.62890935    
       52560   2.03623819       1.94843018       1.63591897    
       52620   2.03623819       1.94843018       1.64345980    
       52680   2.06445241       1.94780445       1.65067005    
       52740   2.08535719       1.94780445       1.65736747    
       52800   2.10421419       1.94851518       1.66315019    
       52860   2.10421419       1.94851518       1.66786063    
       52920   2.12278581       1.94873238       1.67160869    
       52980   2.14211893       1.94873238       1.67435789    
       53040   2.15119052       1.94602704       1.67639399    
       53100   2.16195130       1.94602704       1.67798281    
       53160   2.15969038       1.94027758       1.67916596    
       53220   2.16752386       1.94027758       1.67991650    
       53280   2.18342853       1.93247354       1.68014228    
       53340   2.19521952       1.93247354       1.67982578    
       53400   2.20361900       1.92386043       1.67815781    
       53460   2.21692848       1.92386043       1.67486274    
       53520   2.21697617       1.91401637       1.66976738    
       53580   2.23370743       1.91401637       1.66281092    
       53640   2.22309518       1.89968944       1.65432751    
       53700   2.22809529       1.89968944       1.64430511    
       53760   2.22469044       1.87913465       1.63364327    
       53820   2.22469044       1.87913465       1.62270761    
       53880   2.21747613       1.85338581       1.48445868    
       53940   2.21466660       1.85338581       1.47319317    
       54000   2.21983337       1.82584226       1.46211338    
       54060   2.21983337       1.82584226       1.45135593    
       54120   2.21969056       1.79959548       1.44094753    
       54180   2.22609758       1.79959548       1.43109965    
       54240   2.22937489       1.77424717       1.42207694    
       54300   2.22492313       1.77424717       1.41386473    
       54360   2.22492313       1.75011349       1.40726173    
       54420   2.22431588       1.75011349       1.40220010    
       54480   2.23421621       1.72974598       1.39803374    
       54540   2.25269437       1.72974598       1.39515436    
       54600   2.25269437       1.71541393       1.39324725    
       54660   2.25614285       1.71541393       1.39213538    
       54720   2.25823522       1.70474279       1.39120150    
       54780   2.25823522       1.70474279       1.39014459    
       54840   2.25823522       1.69804931       1.38872063    
       54900   2.25823522       1.69804931       1.38766837    
       54960   2.25823522       1.69210970       1.38699079    
       55020   2.25823522       1.69210970       1.38665879    
       55080   2.25823522       1.68475437       1.38663805    
       55140   2.26030302       1.68475437       1.38678682    
       55200   2.25403118       1.67866540       1.38747168    
       55260   2.24358058       1.67866540       1.38921332    
       55320   2.22873330       1.67381144       1.39193654    
       55380   2.22873330       1.67381144       1.39549911    
       55440   2.22282767       1.67097688       1.39949906    
       55500   2.21667862       1.67097688       1.40389812    
       55560   2.21667862       1.67201221       1.40886915    
       55620   2.20433331       1.67201221       1.41328382    
       55680   2.18842316       1.67480922       1.41731310    
       55740   2.18607998       1.67480922       1.41994393    
       55800   2.18607998       1.68017709       1.42124605    
       55860   2.17358327       1.68017709       1.42090464    
       55920   2.16269565       1.68413138       1.41893148    
       55980   9999.00000       1.68413138       1.41534472    
       56040   9999.00000       1.68291914       1.41007590    
       56100   9999.00000       1.68291914       1.40338910    
       56160   9999.00000       1.67546928       1.39512551    
       56220   9999.00000       1.67546928       1.38587618    
       56280   9999.00000       1.66150963       1.37574828    
       56340   9999.00000       1.66150963       1.36557031    
       56400   9999.00000       1.64151144       1.35538459    
       56460   9999.00000       1.64151144       1.34562027    
       56520   9999.00000       1.61809218       1.33640635    
       56580   9999.00000       1.61809218       1.32762325    
       56640   9999.00000       1.59479523       1.31952369    
       56700   9999.00000       1.59479523       1.31179750    
       56760   9999.00000       1.57368422       1.30432796    
       56820   9999.00000       1.57368422       1.29709232    
       56880   9999.00000       1.55529344       1.29010856    
       56940   9999.00000       1.55529344       1.28346658    
       57000   9999.00000       1.53804374       1.27731001    
       57060   9999.00000       1.53804374       1.27244949    
       57120   9999.00000       1.52187002       1.26920986    
       57180   9999.00000       1.52187002       1.26777053    
       57240   9999.00000       1.50772333       1.26859760    
       57300   9999.00000       1.50772333       1.27136612    
       57360   9999.00000       1.50002885       1.27574539    
       57420   9999.00000       1.50002885       1.28083706    
       57480   9999.00000       1.50133991       2.00373840    
       57540   9999.00000       1.50133991       2.00104976    
       57600   9999.00000       1.50904334       1.99749756    
       57660   9999.00000       1.50904334       1.99319041    
       57720   9999.00000       1.51826954       1.98870420    
       57780   9999.00000       1.51826954       1.98395658    
       57840   9999.00000       1.52413428       1.97987199    
       57900   9999.00000       1.52413428       1.97622108    
       57960   9999.00000       1.52906048       1.97346759    
       58020   9999.00000       1.52906048       1.97097909    
       58080   9999.00000       1.53680885       1.96812904    
       58140   9999.00000       1.53680885       1.96549141    
       58200   9999.00000       1.54775226       1.96260309    
       58260   9999.00000       1.54775226       1.95975554    
       58320   9999.00000       1.55671859       1.95641088    
       58380   9999.00000       1.55671859       1.95312476    
       58440   9999.00000       1.56446087       1.94980061    
       58500   9999.00000       1.56446087       1.94671226    
       58560   9999.00000       1.57021427       1.94387817    
       58620   9999.00000       1.57021427       1.94125891    
       58680   9999.00000       1.57536888       1.93867731    
       58740   9999.00000       1.57536888       1.93615389    
       58800   9999.00000       1.58136678       1.93353915    
       58860   9999.00000       1.58136678       1.93051791    
       58920   9999.00000       1.58746493       1.92710221    
       58980   9999.00000       1.58746493       1.92334139    
       59040   9999.00000       1.59278190       1.91926491    
       59100   9999.00000       1.59278190       1.91528392    
       59160   9999.00000       1.59608793       1.91139603    
       59220   9999.00000       1.59608793       1.90746105    
       59280   9999.00000       1.59776902       1.90361774    
       59340   9999.00000       1.59776902       1.89972460    
       59400   9999.00000       1.59923720       1.89589167    
       59460   9999.00000       1.59923720       1.89200830    
       59520   9999.00000       1.60044432       1.88818777    
       59580   9999.00000       1.60044432       1.88440657    
       59640   9999.00000       1.60162985       1.88071275    
       59700   9999.00000       1.60162985       1.87717688    
       59760   9999.00000       1.60271823       1.87382579    
       59820   9999.00000       1.60271823       1.87082827    
       59880   9999.00000       1.60377681       1.86854410    
       59940   9999.00000       1.60377681       1.86687708    
       60000   9999.00000       1.60513735       1.86559188    
       60060   9999.00000       1.60513735       1.86463451    
       60120   9999.00000       1.60869980       1.86419380    
       60180   9999.00000       1.60869980       1.86416090    
       60240   9999.00000       1.61319864       1.86520565    
       60300   9999.00000       1.61319864       1.86707568    
       60360   9999.00000       1.61920750       1.86981022    
       60420   9999.00000       1.61920750       1.87353194    
       60480   9999.00000       1.62893748       1.87790656    
       60540   9999.00000       1.62893748       1.88291538    
       60600   9999.00000       1.64151478       1.88772988    
       60660   9999.00000       1.64151478       1.89221120    
       60720   9999.00000       1.65617812       1.89602292    
       60780   9999.00000       1.65617812       1.89883518    
       60840   9999.00000       1.66956866       1.90067041    
       60900   9999.00000       1.66956866       1.90103936    
       60960   9999.00000       1.67977262       1.90004277    
       61020   9999.00000       1.67977262       1.89800477    
