 20190702
 Seconds  Measures(WS-m/s)  Meso-NH(WS-m/s)  FORECAST_AR(WS-m/s)
       15300   8.13049221       14.1184530       8.64190578    
       15360   8.04278660       14.1561069       8.63416862    
       15420   7.93754101       14.1853991       8.62110519    
       15480   7.84704924       14.2023077       8.61242867    
       15540   7.76754093       14.2082319       8.60938358    
       15600   7.70491791       14.2096348       8.62213707    
       15660   7.63967228       14.2153625       8.65684605    
       15720   7.56147528       14.2309084       8.70355511    
       15780   7.48967218       14.2617092       8.74777126    
       15840   7.42770481       14.3123522       8.78034019    
       15900   7.35065556       14.3741484       8.80470562    
       15960   7.27196741       14.4316435       8.82716179    
       16020   7.18590164       14.4777193       8.84414768    
       16080   7.11459017       14.5151253       8.85803223    
       16140   7.05721331       14.5477896       8.87002659    
       16200   7.00262308       14.5736752       8.87915134    
       16260   6.94770479       14.5910368       8.88798523    
       16320   6.88918018       14.6003771       8.90430832    
       16380   6.83754110       14.6045198       8.92834568    
       16440   6.81081963       14.6062794       8.94997883    
       16500   6.76754093       14.6097603       8.96030712    
       16560   6.72983599       14.6171188       8.96472931    
       16620   6.70606565       14.6188755       8.97462749    
       16680   6.69901657       14.6085587       8.99612999    
       16740   6.69196701       14.5932693       9.02921677    
       16800   6.66819668       14.5862312       9.07117653    
       16860   6.64442635       14.5945616       9.11481953    
       16920   6.63901663       14.6160555       9.15435410    
       16980   6.62557364       14.6449251       9.19026184    
       17040   6.60704899       14.6760883       9.22284317    
       17100   6.57245922       14.7039709       9.24643326    
       17160   6.54295063       14.7255402       9.25762081    
       17220   6.50557375       14.7386122       9.26553726    
       17280   6.46836042       14.7416668       9.28397560    
       17340   6.41541004       14.7358074       9.31318378    
       17400   6.36147547       14.7286224       9.34562778    
       17460   6.30000019       14.7272377       9.38202286    
       17520   6.24180317       14.7316608       9.42786598    
       17580   6.16672134       14.7387991       9.48093700    
       17640   6.09000015       14.7488508       9.53087902    
       17700   5.99737692       14.7670135       9.57416630    
       17760   5.91163921       14.7909498       9.60655689    
       17820   5.83672142       14.8124399       9.62620735    
       17880   5.74983597       14.8282022       9.63707924    
       17940   5.67147541       14.8346415       9.64431572    
       18000   5.58983612       14.8293705       9.65717220    
       18060   5.50344276       14.8137770       5.33485746    
       18120   5.42213106       14.7929735       5.27591324    
       18180   5.34163952       14.7771206       5.21977282    
       18240   5.27229500       14.7698231       5.17356062    
       18300   5.18704939       14.7645960       5.13964653    
       18360   5.10950804       14.7595625       5.11179161    
       18420   5.04967213       14.7608871       5.08542395    
       18480   5.04934406       14.7708187       5.06170321    
       18540   5.03377056       14.7823219       5.04560232    
       18600   4.98786879       14.7923326       5.03307581    
       18660   4.94491816       14.8033342       5.01602459    
       18720   4.91377068       14.8144979       4.98619556    
       18780   4.88999987       14.8210649       4.94968081    
       18840   4.85344267       14.8156786       4.92167187    
       18900   4.81196737       14.7943392       4.90767097    
       18960   4.77475405       14.7684317       4.90519381    
       19020   4.75426245       14.7511044       4.91529226    
       19080   4.77180338       14.7435455       4.93167973    
       19140   4.76065588       14.7460394       4.94962215    
       19200   4.73885250       14.7572708       4.96489239    
       19260   4.70606565       14.7731419       4.96793222    
       19320   4.67459011       14.7918425       4.95563602    
       19380   4.62377071       14.8072271       4.93943071    
       19440   4.59049177       14.8093805       4.92871428    
       19500   4.55622959       14.7990484       4.92434978    
       19560   4.51442623       14.7862329       4.92119503    
       19620   4.48524570       14.7777376       4.92541361    
       19680   4.45393419       14.7727919       4.93865061    
       19740   4.42770481       14.7687712       4.95493317    
       19800   4.39770508       14.7683382       4.96972179    
       19860   4.37475395       14.7733517       4.98053265    
       19920   4.34983587       14.7790689       4.98903799    
       19980   4.34000015       14.7810736       4.98987770    
       20040   4.32278681       14.7798462       4.98899651    
       20100   4.30114746       14.7726698       4.99430609    
       20160   4.28639364       14.7562876       5.00349045    
       20220   4.27934408       14.7383986       5.01340008    
       20280   4.27229500       14.7257471       5.02285337    
       20340   4.26245880       14.7160320       5.03243732    
       20400   4.26163912       14.7047606       5.04402304    
       20460   4.26409817       14.6900597       5.05597639    
       20520   4.26819658       14.6739216       5.06948233    
       20580   4.26295090       14.6585875       5.08934212    
       20640   4.26163912       14.6451073       5.11385679    
       20700   4.26114750       14.6343565       5.13914108    
       20760   4.25885248       14.6257057       5.16636276    
       20820   4.25278711       14.6190004       5.19600868    
       20880   4.25737715       14.6127119       5.22458887    
       20940   4.26754093       14.6083450       5.24660492    
       21000   4.29098368       14.6063957       5.26132965    
       21060   4.31311464       14.6002989       5.27028465    
       21120   4.34721327       14.5839062       5.27357721    
       21180   4.37508202       14.5584211       5.26684856    
       21240   4.42393446       14.5259085       5.25247860    
       21300   4.47032785       14.4843044       5.23686838    
       21360   4.52245903       14.4328375       5.22201204    
       21420   4.57245922       14.3748493       5.21330214    
       21480   4.62737703       14.3157644       5.21656179    
       21540   4.68836069       14.2599049       5.22941351    
       21600   4.74327850       14.2101183       5.24227524    
       21660   4.79737711       14.1692877       4.90591145    
       21720   4.86983585       14.1369562       4.95572519    
       21780   4.94852448       14.1038828       4.99326563    
       21840   5.01262283       14.0615253       5.02208757    
       21900   5.05163956       14.0099258       5.03704357    
       21960   5.10163927       13.9508505       5.04450798    
       22020   5.17049170       13.8823700       5.04476547    
       22080   5.23311472       13.8051100       5.04359579    
       22140   5.26590157       13.7242765       5.04338217    
       22200   5.29868841       13.6402903       5.04704905    
       22260   5.32000017       13.5537519       5.05133867    
       22320   5.35196733       13.4692755       5.04877567    
       22380   5.39098358       13.3886089       5.03530979    
       22440   5.42245913       13.3096037       5.00659752    
       22500   5.44295073       13.2287636       4.96443415    
       22560   5.47327852       13.1396713       4.90725565    
       22620   5.50393438       13.0356960       4.83801460    
       22680   5.52491808       12.9150066       4.75771952    
       22740   5.54459000       12.7800369       4.67178726    
       22800   5.58557367       12.6328735       4.58394909    
       22860   5.62868834       12.4734869       4.50365734    
       22920   5.68147564       12.3051701       4.43516254    
       22980   5.72934437       12.1371775       4.37659788    
       23040   5.80065584       11.9783211       4.32138300    
       23100   5.85934448       11.8309669       4.26811790    
       23160   5.92032766       11.6919260       4.21776533    
       23220   5.98721313       11.5577850       4.17433596    
       23280   6.04672146       11.4273329       4.13627005    
       23340   6.11852455       11.3007450       4.10513878    
       23400   6.18491793       11.1786299       4.08205271    
       23460   6.25311470       11.0627289       4.06452465    
       23520   6.31918049       10.9563723       4.05021572    
       23580   6.38803291       10.8603878       4.03978634    
       23640   6.44524574       10.7724771       4.03043509    
       23700   6.51213121       10.6899567       4.01604700    
       23760   6.58508205       10.6101828       3.99592566    
       23820   6.65918016       10.5283127       3.96916294    
       23880   6.73508215       10.4401875       3.93526888    
       23940   6.79622936       10.3464918       3.89171982    
       24000   6.86918020       10.2474318       3.83792210    
