 20190525
 Seconds  Measures(SEE-arcsec)  Meso-NH(SEE-arcsec)  FORECAST_AR(SEE-arcsec)
       33180  0.978500009       1.22688675      0.984181821    
       33240  0.975333333       1.22318459      0.984181821    
       33300  0.975333333       1.22318459      0.984181821    
       33360  0.975333333       1.22073460      0.984181821    
       33420  0.982933342       1.22073460      0.984181821    
       33480  0.982933342       1.21857679      0.984181821    
       33540  0.982933342       1.21857679      0.984181821    
       33600  0.964933336       1.21585703      0.984181821    
       33660  0.964933336       1.21585703      0.984181821    
       33720  0.972625017       1.21464121      0.984181821    
       33780  0.955666661       1.21464121      0.984181821    
       33840  0.955666661       1.21331930      0.984181821    
       33900  0.964999974       1.21331930      0.984181821    
       33960  0.964999974       1.21125448      0.984181821    
       34020  0.962533355       1.21125448      0.984181821    
       34080  0.980624974       1.20876205      0.984181821    
       34140  0.988529384       1.20876205      0.984181821    
       34200   1.00533330       1.20416462      0.984181821    
       34260   1.00533330       1.20416462      0.984181821    
       34320   1.01663160       1.19592440      0.984181821    
       34380   1.01663160       1.19592440      0.984181821    
       34440   1.01663160       1.19109297      0.984181821    
       34500   1.01450002       1.19109297      0.984181821    
       34560   1.01450002       1.19182491      0.984181821    
       34620   1.01450002       1.19182491      0.984181821    
       34680   1.01255000       1.19610322      0.984181821    
       34740   1.01255000       1.19610322      0.984181821    
       34800   1.02257144       1.19861531      0.984181821    
       34860   1.01944995       1.19861531      0.984181821    
       34920   1.01944995       1.20038807      0.984181821    
       34980   1.01809525       1.20038807      0.984181821    
       35040   1.02345002       1.19924057      0.984181821    
       35100   1.02345002       1.19924057      0.984181821    
       35160   1.02345002       1.19592166      0.984181821    
       35220   1.02345002       1.19592166      0.984181821    
       35280   1.02345002       1.19544435      0.984181821    
       35340   1.02233338       1.19544435      0.984181821    
       35400   1.02233338       1.19805443      0.984181821    
       35460   1.02233338       1.19805443      0.984181821    
       35520   1.02233338       1.20595109      0.984181821    
       35580   1.02530003       1.20595109      0.984181821    
       35640   1.02530003       1.20295668      0.984181821    
       35700   1.03204763       1.20295668      0.984181821    
       35760   1.03204763       1.19519269      0.984181821    
       35820   1.03904998       1.19519269      0.984181821    
       35880   1.03904998       1.18676746       1.29100001    
       35940   1.03904998       1.18676746       1.29100001    
       36000   1.04980004       1.18062472       1.29100001    
       36060   1.04980004       1.18062472       1.29100001    
       36120   1.04980004       1.18089294       1.29100001    
       36180   1.06252635       1.18089294       1.29100001    
       36240   1.06252635       1.17718697       1.29100001    
       36300   1.05729997       1.17718697       1.29100001    
       36360   1.06852627       1.17123950       1.29100001    
       36420   1.06852627       1.17123950       1.29100001    
       36480   1.06852627       1.16825712       1.29100001    
       36540   1.06852627       1.16825712       1.29100001    
       36600   1.06836843       1.16545975       1.29100001    
       36660   1.06836843       1.16545975       1.29100001    
       36720   1.06836843       1.15990245       1.29100001    
       36780   1.07200003       1.15990245       1.29100001    
       36840   1.07200003       1.15737820       1.29100001    
       36900   1.08000004       1.15737820       1.29100001    
       36960   1.08000004       1.15849411       1.29100001    
       37020   1.08000004       1.15849411       1.29100001    
       37080   1.07988238       1.15660310       1.29100001    
       37140   1.07988238       1.15660310       1.29100001    
       37200   1.08161116       1.15504837       1.29100001    
       37260   1.08811760       1.15504837       1.29100001    
       37320   1.08811760       1.15293992       1.29100001    
       37380   1.08812499       1.15293992       1.29100001    
       37440   1.09364700       1.14967406       1.29100001    
       37500   1.09364700       1.14967406       1.29100001    
       37560   1.09293747       1.14617908       1.29100001    
       37620   1.09293747       1.14617908       1.29100001    
       37680   1.09293747       1.14363003       1.29100001    
       37740   1.10224998       1.14363003       1.29100001    
       37800   1.10140002       1.14145899       1.29100001    
       37860   1.08785713       1.14145899       1.29100001    
       37920   1.09346664       1.14300847       1.29100001    
       37980   1.08442855       1.14300847       1.29100001    
       38040   1.08442855       1.14680147       1.29100001    
       38100   1.08442855       1.14680147       1.29100001    
       38160   1.10335720       1.15106714       1.29100001    
       38220   1.10335720       1.15106714       1.29100001    
       38280   1.10335720       1.15383172       1.29100001    
       38340   1.11792302       1.15383172       1.29100001    
       38400   1.13171434       1.15687001       1.29100001    
       38460   1.12469232       1.15687001       1.29100001    
       38520   1.12469232       1.15582192       1.29100001    
       38580   1.12469232       1.15582192       1.29100001    
       38640   1.13583338       1.15403008       1.29100001    
       38700   1.15738463       1.15403008       1.29100001    
       38760   1.15738463       1.15775919       1.29100001    
       38820   1.15738463       1.15775919       1.29100001    
       38880   1.16357148       1.15915060       1.29100001    
       38940   1.16357148       1.15915060       1.29100001    
       39000   1.17615390       1.16189051       1.29100001    
       39060   1.17615390       1.16189051       1.29100001    
       39120   1.17615390       1.16371453       1.29100001    
       39180   1.16592860       1.16371453       1.29100001    
       39240   1.16592860       1.16475201       1.29100001    
       39300   1.16592860       1.16475201       1.29100001    
       39360   1.16642857       1.16622651       1.29100001    
       39420   1.16642857       1.16622651       1.29100001    
       39480   1.16642857       1.16872823       1.32466662    
       39540   1.16653335       1.16872823       1.32466662    
       39600   1.16653335       1.18179214       1.32466662    
       39660   1.17778575       1.18179214       1.32466662    
       39720   1.16726673       1.18417370       1.32466662    
       39780   1.16726673       1.18417370       1.32466662    
       39840   1.16726673       1.18281710       1.32466662    
       39900   1.16726673       1.18281710       1.32466662    
       39960   1.18221426       1.18823957       1.32466662    
       40020   1.18221426       1.18823957       1.32466662    
       40080   1.18221426       1.18832624       1.32466662    
       40140   1.18221426       1.18832624       1.32466662    
       40200   1.17146671       1.18833935       1.32466662    
       40260   1.18335712       1.18833935       1.32466662    
       40320   1.18335712       1.18897629       1.32466662    
       40380   1.18335712       1.18897629       1.32466662    
       40440   1.18335712       1.18671501       1.32466662    
       40500   1.18335712       1.18671501       1.32466662    
       40560   1.19169235       1.18596339       1.32466662    
       40620   1.19169235       1.18596339       1.32466662    
       40680   1.18792856       1.18585336       1.32466662    
       40740   1.18792856       1.18585336       1.32466662    
       40800   1.18792856       1.18953872       1.32466662    
       40860   1.19384611       1.18953872       1.32466662    
       40920   1.19384611       1.19150496       1.32466662    
       40980   1.19384611       1.19150496       1.32466662    
       41040   1.18171430       1.19514775       1.32466662    
       41100   1.18169236       1.19514775       1.32466662    
       41160   1.18169236       1.19820392       1.32466662    
